experiment,model,year,region,pr
SSP5-8.5,cnrm_esm2_1,2084,Grodno,236.6436935058456
SSP5-8.5,cnrm_esm2_1,2084,Minsk,225.03535480418844
SSP5-8.5,cnrm_esm2_1,2084,Mogilev,230.65804607547324
SSP5-8.5,cnrm_esm2_1,2084,Vitebsk,230.61281768473816
SSP5-8.5,cnrm_esm2_1,2085,Brest,364.36389968537827
SSP5-8.5,cnrm_esm2_1,2085,Gomel,358.590582238322
SSP5-8.5,cnrm_esm2_1,2085,Grodno,314.720999509323
SSP5-8.5,cnrm_esm2_1,2085,Minsk,359.1005994958058
SSP5-8.5,cnrm_esm2_1,2085,Mogilev,392.094470627488
SSP5-8.5,cnrm_esm2_1,2085,Vitebsk,309.8135315745272
SSP5-8.5,cnrm_esm2_1,2086,Brest,277.63407163678704
SSP5-8.5,cnrm_esm2_1,2086,Gomel,278.06707388582123
SSP5-8.5,cnrm_esm2_1,2086,Grodno,295.4758556635007
SSP5-8.5,cnrm_esm2_1,2086,Minsk,294.329385992743
SSP5-8.5,cnrm_esm2_1,2086,Mogilev,305.69012265543074
SSP5-8.5,cnrm_esm2_1,2086,Vitebsk,305.21866146483654
SSP5-8.5,cnrm_esm2_1,2087,Brest,267.78872572833825
SSP5-8.5,cnrm_esm2_1,2087,Gomel,243.064428985985
SSP5-8.5,cnrm_esm2_1,2087,Grodno,354.4836265410275
SSP5-8.5,cnrm_esm2_1,2087,Minsk,333.16968197487404
SSP5-8.5,cnrm_esm2_1,2087,Mogilev,321.2620212844635
SSP5-8.5,cnrm_esm2_1,2087,Vitebsk,380.9403375629673
SSP5-8.5,cnrm_esm2_1,2088,Brest,228.32977165815285
SSP5-8.5,cnrm_esm2_1,2088,Gomel,202.5224495427383
SSP5-8.5,cnrm_esm2_1,2088,Grodno,247.72000014335475
SSP5-8.5,cnrm_esm2_1,2088,Minsk,266.33244646408025
SSP5-8.5,cnrm_esm2_1,2088,Mogilev,253.02891514590038
SSP5-8.5,cnrm_esm2_1,2088,Vitebsk,293.82246234458654
SSP5-8.5,cnrm_esm2_1,2089,Brest,330.70770528725615
SSP5-8.5,cnrm_esm2_1,2089,Gomel,342.90688539486706
SSP5-8.5,cnrm_esm2_1,2089,Grodno,345.09695682452883
SSP5-8.5,cnrm_esm2_1,2089,Minsk,338.1192596732644
SSP5-8.5,cnrm_esm2_1,2089,Mogilev,359.54896056736476
SSP5-8.5,cnrm_esm2_1,2089,Vitebsk,336.58098974947524
SSP5-8.5,cnrm_esm2_1,2090,Brest,323.73386327393604
SSP5-8.5,cnrm_esm2_1,2090,Gomel,308.3360554981952
SSP5-8.5,cnrm_esm2_1,2090,Grodno,317.4486087721617
SSP5-8.5,cnrm_esm2_1,2090,Minsk,311.6907587084513
SSP5-8.5,cnrm_esm2_1,2090,Mogilev,302.67417584768486
SSP5-8.5,cnrm_esm2_1,2090,Vitebsk,319.9590974651993
SSP5-8.5,cnrm_esm2_1,2091,Brest,262.4616222115542
SSP5-8.5,cnrm_esm2_1,2091,Gomel,288.23416528558283
SSP5-8.5,cnrm_esm2_1,2091,Grodno,268.69093140231206
SSP5-8.5,cnrm_esm2_1,2091,Minsk,307.19982531082843
SSP5-8.5,cnrm_esm2_1,2091,Mogilev,329.3246132444105
SSP5-8.5,cnrm_esm2_1,2091,Vitebsk,315.19551023979335
SSP5-8.5,cnrm_esm2_1,2092,Brest,273.3738787378109
SSP5-8.5,cnrm_esm2_1,2092,Gomel,271.9707590614809
SSP5-8.5,cnrm_esm2_1,2092,Grodno,278.03840998621126
SSP5-8.5,cnrm_esm2_1,2092,Minsk,298.7032764822132
SSP5-8.5,cnrm_esm2_1,2092,Mogilev,281.09851536321156
SSP5-8.5,cnrm_esm2_1,2092,Vitebsk,320.21260793046287
SSP5-8.5,cnrm_esm2_1,2093,Brest,321.78045589050976
SSP5-8.5,cnrm_esm2_1,2093,Gomel,315.9936463039397
SSP5-8.5,cnrm_esm2_1,2093,Grodno,336.3237027010023
SSP5-8.5,cnrm_esm2_1,2093,Minsk,346.0916738742244
SSP5-8.5,cnrm_esm2_1,2093,Mogilev,355.65555027276497
SSP5-8.5,cnrm_esm2_1,2093,Vitebsk,324.6363795776779
SSP5-8.5,cnrm_esm2_1,2094,Brest,332.05606298765434
SSP5-8.5,cnrm_esm2_1,2094,Gomel,298.6851707401157
SSP5-8.5,cnrm_esm2_1,2094,Grodno,322.9193629887023
SSP5-8.5,cnrm_esm2_1,2094,Minsk,336.54164183876185
SSP5-8.5,cnrm_esm2_1,2094,Mogilev,312.07689709493917
SSP5-8.5,cnrm_esm2_1,2094,Vitebsk,328.43246587873784
SSP5-8.5,cnrm_esm2_1,2095,Brest,356.0628350277733
SSP5-8.5,cnrm_esm2_1,2095,Gomel,289.72120102744145
SSP5-8.5,cnrm_esm2_1,2095,Grodno,384.27860632057434
SSP5-8.5,cnrm_esm2_1,2095,Minsk,345.83986940417714
SSP5-8.5,cnrm_esm2_1,2095,Mogilev,294.53997389260024
SSP5-8.5,cnrm_esm2_1,2095,Vitebsk,321.04476817762946
SSP5-8.5,cnrm_esm2_1,2096,Brest,236.7790983711986
SSP5-8.5,cnrm_esm2_1,2096,Gomel,244.55906769998322
SSP5-8.5,cnrm_esm2_1,2096,Grodno,280.9410747963109
SSP5-8.5,cnrm_esm2_1,2096,Minsk,312.2523165388805
SSP5-8.5,cnrm_esm2_1,2096,Mogilev,329.45134367916404
SSP5-8.5,cnrm_esm2_1,2096,Vitebsk,364.06155079224635
SSP5-8.5,cnrm_esm2_1,2097,Brest,201.02297062916122
SSP5-8.5,cnrm_esm2_1,2097,Gomel,230.11646302310638
SSP5-8.5,cnrm_esm2_1,2097,Grodno,228.2546082351759
SSP5-8.5,cnrm_esm2_1,2097,Minsk,251.39055207234156
SSP5-8.5,cnrm_esm2_1,2097,Mogilev,266.34565078690025
SSP5-8.5,cnrm_esm2_1,2097,Vitebsk,297.12335393031947
SSP5-8.5,cnrm_esm2_1,2098,Brest,309.4078058221458
SSP5-8.5,cnrm_esm2_1,2098,Gomel,316.9290438784354
SSP5-8.5,cnrm_esm2_1,2098,Grodno,323.23666534167046
SSP5-8.5,cnrm_esm2_1,2098,Minsk,333.93729592744415
SSP5-8.5,cnrm_esm2_1,2098,Mogilev,352.356050305766
SSP5-8.5,cnrm_esm2_1,2098,Vitebsk,343.66779167368065
SSP5-8.5,ec_earth3_veg_lr,2015,Brest,280.2688483527136
SSP5-8.5,ec_earth3_veg_lr,2015,Gomel,281.218160778852
SSP5-8.5,ec_earth3_veg_lr,2015,Grodno,273.1010939073074
SSP5-8.5,ec_earth3_veg_lr,2015,Minsk,278.932774342997
SSP5-8.5,ec_earth3_veg_lr,2015,Mogilev,284.7532628342132
SSP5-8.5,ec_earth3_veg_lr,2015,Vitebsk,274.53085890992486
SSP5-8.5,ec_earth3_veg_lr,2016,Brest,189.38665516287605
SSP5-8.5,ec_earth3_veg_lr,2016,Gomel,168.78219340223393
SSP5-8.5,ec_earth3_veg_lr,2016,Grodno,237.1505053344752
SSP5-8.5,ec_earth3_veg_lr,2016,Minsk,221.93005134470943
SSP5-8.5,ec_earth3_veg_lr,2016,Mogilev,203.770965787037
SSP5-8.5,ec_earth3_veg_lr,2016,Vitebsk,265.1243040906727
SSP5-8.5,ec_earth3_veg_lr,2017,Brest,294.94988622840634
SSP5-8.5,ec_earth3_veg_lr,2017,Gomel,258.1010221428921
SSP5-8.5,ec_earth3_veg_lr,2017,Grodno,270.96991167400944
SSP5-8.5,ec_earth3_veg_lr,2017,Minsk,257.40472374904897
SSP5-8.5,ec_earth3_veg_lr,2017,Mogilev,226.5474642794732
SSP5-8.5,ec_earth3_veg_lr,2017,Vitebsk,239.05333411404672
SSP5-8.5,ec_earth3_veg_lr,2018,Brest,250.6057103180271
SSP5-8.5,ec_earth3_veg_lr,2018,Gomel,224.33117340509716
SSP5-8.5,ec_earth3_veg_lr,2018,Grodno,278.7901754716594
