year,region,e_winter
1966,Gomel,7.140
1966,Grodno,11.275
1966,Minsk,6.973
1966,Mogilev,5.440
1966,Vitebsk,11.977
1967,Brest,14.273
1967,Gomel,10.005
1967,Grodno,10.742
1967,Minsk,7.676
1967,Mogilev,6.651
1967,Vitebsk,9.317
1968,Brest,16.934
1968,Gomel,14.485
1968,Grodno,16.399
1968,Minsk,12.778
1968,Mogilev,12.744
1968,Vitebsk,17.686
1969,Brest,10.085
1969,Gomel,9.816
1969,Grodno,8.817
1969,Minsk,7.054
1969,Mogilev,8.627
1969,Vitebsk,9.290
1970,Brest,15.265
1970,Gomel,11.257
1970,Grodno,12.287
1970,Minsk,10.331
1970,Mogilev,8.303
1970,Vitebsk,12.592
1971,Brest,17.115
1971,Gomel,16.202
1971,Grodno,15.121
1971,Minsk,12.443
1971,Mogilev,14.598
1971,Vitebsk,15.189
1972,Brest,19.750
1972,Gomel,18.616
1972,Grodno,18.008
1972,Minsk,16.763
1972,Mogilev,17.508
1972,Vitebsk,17.384
1973,Brest,20.216
1973,Gomel,15.489
1973,Grodno,13.155
1973,Minsk,11.290
1973,Mogilev,11.711
1973,Vitebsk,12.261
1974,Brest,28.389
1974,Gomel,24.792
1974,Grodno,23.530
1974,Minsk,18.056
1974,Mogilev,15.297
1974,Vitebsk,16.906
1975,Brest,23.228
1975,Gomel,19.705
1975,Grodno,20.699
1975,Minsk,17.463
1975,Mogilev,18.008
1975,Vitebsk,18.054
1976,Brest,18.485
1976,Gomel,15.548
1976,Grodno,15.302
1976,Minsk,11.985
1976,Mogilev,10.525
1976,Vitebsk,15.586
1977,Brest,15.257
1977,Gomel,15.269
1977,Grodno,13.130
1977,Minsk,9.876
1977,Mogilev,10.898
1977,Vitebsk,13.964
1978,Brest,11.138
1978,Gomel,9.595
1978,Grodno,9.622
1978,Minsk,7.556
1978,Mogilev,8.042
1978,Vitebsk,10.721
1979,Brest,16.909
1979,Gomel,16.760
1979,Grodno,14.798
1979,Minsk,12.321
1979,Mogilev,13.341
1979,Vitebsk,14.184
1980,Brest,23.013
1980,Gomel,18.423
1980,Grodno,20.914
1980,Minsk,15.082
1980,Mogilev,13.401
1980,Vitebsk,17.034
1981,Brest,15.680
1981,Gomel,16.330
1981,Grodno,10.814
1981,Minsk,8.732
1981,Mogilev,10.081
1981,Vitebsk,11.793
1982,Brest,28.229
1982,Gomel,23.593
1982,Grodno,26.418
1982,Minsk,22.214
1982,Mogilev,20.564
1982,Vitebsk,20.719
1983,Brest,23.830
1983,Gomel,17.818
1983,Grodno,22.687
1983,Minsk,18.000
1983,Mogilev,17.780
1983,Vitebsk,22.814
1984,Brest,12.974
1984,Gomel,9.826
1984,Grodno,11.587
