year,region,tp_Apr
1992,Minsk,67.201
1992,Mogilev,36.601
1992,Vitebsk,66.028
1993,Brest,42.359
1993,Gomel,51.235
1993,Grodno,37.209
1993,Minsk,49.239
1993,Mogilev,44.730
1993,Vitebsk,47.097
1994,Brest,71.392
1994,Gomel,50.054
1994,Grodno,74.551
1994,Minsk,59.130
1994,Mogilev,47.000
1994,Vitebsk,58.248
1995,Brest,69.429
1995,Gomel,70.477
1995,Grodno,59.380
1995,Minsk,62.381
1995,Mogilev,86.763
1995,Vitebsk,72.061
1996,Brest,65.981
1996,Gomel,25.973
1996,Grodno,65.503
1996,Minsk,40.986
1996,Mogilev,26.181
1996,Vitebsk,34.584
1997,Brest,54.062
1997,Gomel,52.235
1997,Grodno,66.736
1997,Minsk,54.772
1997,Mogilev,52.042
1997,Vitebsk,60.621
1998,Brest,73.517
1998,Gomel,89.461
1998,Grodno,69.096
1998,Minsk,62.651
1998,Mogilev,73.185
1998,Vitebsk,45.272
1999,Brest,69.757
1999,Gomel,34.798
1999,Grodno,55.332
1999,Minsk,45.233
1999,Mogilev,33.833
1999,Vitebsk,33.769
2000,Brest,70.212
2000,Gomel,48.003
2000,Grodno,66.320
2000,Minsk,71.603
2000,Mogilev,63.773
2000,Vitebsk,78.234
2001,Brest,35.179
2001,Gomel,70.467
2001,Grodno,53.014
2001,Minsk,73.681
2001,Mogilev,58.364
2001,Vitebsk,69.761
2002,Brest,47.729
2002,Gomel,48.111
2002,Grodno,32.027
2002,Minsk,47.457
2002,Mogilev,38.671
2002,Vitebsk,31.370
2003,Brest,57.236
2003,Gomel,50.549
2003,Grodno,55.422
2003,Minsk,55.472
2003,Mogilev,51.993
2003,Vitebsk,55.620
2004,Brest,55.635
2004,Gomel,60.022
2004,Grodno,49.490
2004,Minsk,54.604
2004,Mogilev,55.381
2004,Vitebsk,29.396
2005,Brest,27.587
2005,Gomel,51.137
2005,Grodno,21.652
2005,Minsk,39.525
2005,Mogilev,55.372
2005,Vitebsk,38.780
2006,Brest,36.912
2006,Gomel,44.705
2006,Grodno,51.170
2006,Minsk,42.478
2006,Mogilev,44.762
2006,Vitebsk,53.212
2007,Brest,28.255
2007,Gomel,36.084
2007,Grodno,26.868
2007,Minsk,29.563
2007,Mogilev,38.491
2007,Vitebsk,40.414
2008,Brest,81.795
2008,Gomel,91.347
2008,Grodno,69.771
2008,Minsk,67.194
2008,Mogilev,89.021
2008,Vitebsk,69.686
2009,Brest,11.384
