year,region,tp_Sep
1953,Minsk,51.007
1953,Mogilev,50.704
1953,Vitebsk,93.675
1954,Brest,38.504
1954,Gomel,49.710
1954,Grodno,33.888
1954,Minsk,43.779
1954,Mogilev,44.904
1954,Vitebsk,63.264
1955,Brest,51.720
1955,Gomel,72.716
1955,Grodno,49.716
1955,Minsk,82.374
1955,Mogilev,95.224
1955,Vitebsk,112.263
1956,Brest,45.894
1956,Gomel,35.222
1956,Grodno,53.996
1956,Minsk,41.443
1956,Mogilev,31.171
1956,Vitebsk,28.081
1957,Brest,125.734
1957,Gomel,129.019
1957,Grodno,157.793
1957,Minsk,150.486
1957,Mogilev,137.990
1957,Vitebsk,143.038
1958,Brest,45.904
1958,Gomel,44.888
1958,Grodno,40.761
1958,Minsk,33.348
1958,Mogilev,36.160
1958,Vitebsk,32.911
1959,Brest,35.365
1959,Gomel,49.023
1959,Grodno,44.366
1959,Minsk,52.054
1959,Mogilev,55.342
1959,Vitebsk,69.326
1960,Brest,52.192
1960,Gomel,47.252
1960,Grodno,59.678
1960,Minsk,69.752
1960,Mogilev,67.137
1960,Vitebsk,70.487
1961,Brest,27.571
1961,Gomel,39.391
1961,Grodno,38.999
1961,Minsk,49.995
1961,Mogilev,70.101
1961,Vitebsk,71.731
1962,Brest,45.502
1962,Gomel,51.678
1962,Grodno,76.403
1962,Minsk,57.185
1962,Mogilev,58.425
1962,Vitebsk,71.731
1963,Brest,45.865
1963,Gomel,46.463
1963,Grodno,46.181
1963,Minsk,46.501
1963,Mogilev,59.839
1963,Vitebsk,53.814
1964,Brest,47.267
1964,Gomel,74.987
1964,Grodno,54.879
1964,Minsk,63.960
1964,Mogilev,82.075
1964,Vitebsk,73.160
1965,Brest,37.735
1965,Gomel,34.014
1965,Grodno,34.281
1965,Minsk,57.130
1965,Mogilev,56.156
1965,Vitebsk,57.785
1966,Brest,38.257
1966,Gomel,30.252
1966,Grodno,50.503
1966,Minsk,41.114
1966,Mogilev,38.748
1966,Vitebsk,58.559
1967,Brest,25.677
1967,Gomel,17.074
1967,Grodno,30.494
1967,Minsk,30.088
1967,Mogilev,23.089
1967,Vitebsk,33.939
1968,Brest,61.831
1968,Gomel,88.058
1968,Grodno,58.301
1968,Minsk,41.773
1968,Mogilev,42.394
1968,Vitebsk,50.880
1969,Brest,26.019
1969,Gomel,28.791
1969,Grodno,42.984
1969,Minsk,44.663
1969,Mogilev,43.756
1969,Vitebsk,57.421
1970,Brest,75.735
1970,Gomel,65.513
1970,Grodno,75.058
1970,Minsk,79.390
1970,Mogilev,72.479
1970,Vitebsk,92.137
1971,Brest,85.175
1971,Gomel,104.550
1971,Grodno,80.861
1971,Minsk,98.536
1971,Mogilev,118.014
1971,Vitebsk,101.295
1972,Brest,90.194
1972,Gomel,81.091
1972,Grodno,92.438
1972,Minsk,83.607
1972,Mogilev,70.013
1972,Vitebsk,57.286
1973,Brest,52.122
1973,Gomel,71.713
1973,Grodno,54.752
1973,Minsk,59.705
1973,Mogilev,73.313
1973,Vitebsk,82.782
1974,Brest,91.449
1974,Gomel,52.938
1974,Grodno,90.485
1974,Minsk,74.212
1974,Mogilev,39.905
1974,Vitebsk,50.698
1975,Brest,51.327
1975,Gomel,16.224
1975,Grodno,46.983
1975,Minsk,34.377
1975,Mogilev,16.918
1975,Vitebsk,30.160
1976,Brest,76.615
1976,Gomel,72.849
1976,Grodno,39.057
1976,Minsk,45.362
1976,Mogilev,34.887
1976,Vitebsk,31.026
1977,Brest,65.442
1977,Gomel,57.859
1977,Grodno,59.689
1977,Minsk,62.873
1977,Mogilev,65.000
1977,Vitebsk,54.381
1978,Brest,112.571
1978,Gomel,97.175
1978,Grodno,133.418
1978,Minsk,144.248
1978,Mogilev,96.501
1978,Vitebsk,148.950
1979,Brest,27.485
1979,Gomel,42.021
1979,Grodno,54.251
1979,Minsk,42.675
1979,Mogilev,51.241
1979,Vitebsk,66.698
1980,Brest,69.538
1980,Gomel,71.238
1980,Grodno,75.180
1980,Minsk,53.936
1980,Mogilev,57.007
1980,Vitebsk,60.939
1981,Brest,36.106
1981,Gomel,60.595
1981,Grodno,48.425
1981,Minsk,45.464
1981,Mogilev,66.759
1981,Vitebsk,67.913
1982,Brest,28.758
1982,Gomel,27.809
1982,Grodno,38.947
1982,Minsk,35.577
1982,Mogilev,23.411
1982,Vitebsk,49.779
1983,Brest,68.424
1983,Gomel,37.606
1983,Grodno,81.688
1983,Minsk,41.108
1983,Mogilev,39.261
1983,Vitebsk,47.064
1984,Brest,112.731
1984,Gomel,133.541
1984,Grodno,105.113
1984,Minsk,129.136
1984,Mogilev,142.416
1984,Vitebsk,151.512
1985,Brest,89.080
1985,Gomel,96.927
1985,Grodno,93.136
1985,Minsk,101.626
1985,Mogilev,143.235
1985,Vitebsk,143.567
1986,Brest,58.745
1986,Gomel,55.925
1986,Grodno,84.477
1986,Minsk,76.611
1986,Mogilev,60.389
1986,Vitebsk,102.637
1987,Brest,62.137
1987,Gomel,77.155
1987,Grodno,52.202
1987,Minsk,51.843
1987,Mogilev,62.139
1987,Vitebsk,69.950
1988,Brest,71.938
1988,Gomel,69.359
1988,Grodno,79.550
1988,Minsk,66.133
1988,Mogilev,74.955
1988,Vitebsk,72.226
1989,Brest,50.727
1989,Gomel,46.312
1989,Grodno,41.757
1989,Minsk,52.355
1989,Mogilev,43.974
1989,Vitebsk,46.688
1990,Brest,152.670
