year,region,tp_annual
1994,Brest,735.404
1994,Gomel,686.174
1994,Grodno,803.913
1994,Minsk,776.564
1994,Mogilev,713.877
1994,Vitebsk,810.839
1995,Brest,696.883
1995,Gomel,641.209
1995,Grodno,719.890
1995,Minsk,684.226
1995,Mogilev,714.831
1995,Vitebsk,769.904
1996,Brest,668.036
1996,Gomel,659.010
1996,Grodno,710.726
1996,Minsk,658.715
1996,Mogilev,626.081
1996,Vitebsk,661.638
1997,Brest,759.324
1997,Gomel,744.344
1997,Grodno,760.454
1997,Minsk,782.327
1997,Mogilev,761.066
1997,Vitebsk,836.919
1998,Brest,849.065
1998,Gomel,894.332
1998,Grodno,898.627
1998,Minsk,986.415
1998,Mogilev,960.370
1998,Vitebsk,965.447
1999,Brest,653.638
1999,Gomel,670.242
1999,Grodno,665.152
1999,Minsk,606.125
1999,Mogilev,651.141
1999,Vitebsk,640.345
2000,Brest,712.564
2000,Gomel,701.662
2000,Grodno,722.186
2000,Minsk,699.938
2000,Mogilev,736.146
2000,Vitebsk,786.021
2001,Brest,654.072
2001,Gomel,732.238
2001,Grodno,687.150
2001,Minsk,702.389
2001,Mogilev,745.532
2001,Vitebsk,778.521
2002,Brest,662.780
2002,Gomel,599.488
2002,Grodno,658.932
2002,Minsk,618.553
2002,Mogilev,589.188
2002,Vitebsk,605.107
2003,Brest,659.176
2003,Gomel,654.177
2003,Grodno,705.102
2003,Minsk,663.843
2003,Mogilev,681.028
2003,Vitebsk,741.508
2004,Brest,762.896
2004,Gomel,705.240
2004,Grodno,810.760
2004,Minsk,801.115
2004,Mogilev,743.489
2004,Vitebsk,743.281
2005,Brest,647.630
2005,Gomel,660.576
2005,Grodno,716.355
2005,Minsk,707.748
2005,Mogilev,718.311
2005,Vitebsk,754.443
2006,Brest,693.468
2006,Gomel,704.273
2006,Grodno,710.283
2006,Minsk,652.362
2006,Mogilev,701.631
2006,Vitebsk,749.292
2007,Brest,706.197
2007,Gomel,698.697
2007,Grodno,736.444
2007,Minsk,669.348
2007,Mogilev,733.083
2007,Vitebsk,713.048
2008,Brest,778.858
2008,Gomel,726.734
2008,Grodno,787.404
2008,Minsk,768.473
2008,Mogilev,753.054
2008,Vitebsk,798.433
2009,Brest,772.732
2009,Gomel,785.416
2009,Grodno,767.400
2009,Minsk,870.138
2009,Mogilev,904.929
2009,Vitebsk,898.772
2010,Brest,815.520
2010,Gomel,719.721
2010,Grodno,840.402
2010,Minsk,795.372
2010,Mogilev,772.808
2010,Vitebsk,836.566
2011,Brest,600.435
2011,Gomel,595.076
2011,Grodno,637.216
2011,Minsk,637.721
2011,Mogilev,667.002
2011,Vitebsk,680.982
2012,Brest,723.903
2012,Gomel,903.781
2012,Grodno,773.104
2012,Minsk,824.262
2012,Mogilev,939.008
2012,Vitebsk,884.367
2013,Brest,767.507
2013,Gomel,708.304
2013,Grodno,742.158
2013,Minsk,718.473
2013,Mogilev,694.814
2013,Vitebsk,698.113
2014,Brest,648.788
2014,Gomel,567.689
2014,Grodno,677.615
2014,Minsk,631.396
2014,Mogilev,571.426
2014,Vitebsk,662.291
2015,Brest,585.096
2015,Gomel,539.761
2015,Grodno,648.001
2015,Minsk,608.447
2015,Mogilev,556.395
2015,Vitebsk,622.480
2016,Brest,795.000
2016,Gomel,736.642
2016,Grodno,880.560
2016,Minsk,773.234
2016,Mogilev,769.140
2016,Vitebsk,820.275
2017,Brest,811.510
2017,Gomel,773.413
2017,Grodno,878.327
2017,Minsk,891.255
2017,Mogilev,846.871
2017,Vitebsk,897.241
2018,Brest,632.346
2018,Gomel,653.115
2018,Grodno,649.049
2018,Minsk,635.073
2018,Mogilev,675.608
2018,Vitebsk,604.466
2019,Brest,669.601
2019,Gomel,546.507
2019,Grodno,638.804
2019,Minsk,645.208
2019,Mogilev,617.545
2019,Vitebsk,746.474
2020,Brest,701.277
2020,Gomel,677.902
2020,Grodno,660.425
2020,Minsk,720.478
2020,Mogilev,811.645
2020,Vitebsk,754.195
2021,Brest,804.128
2021,Gomel,763.268
2021,Grodno,884.137
2021,Minsk,789.597
2021,Mogilev,771.078
2021,Vitebsk,778.443
2022,Brest,757.253
2022,Gomel,849.095
2022,Grodno,799.306
2022,Minsk,822.513
2022,Mogilev,910.102
2022,Vitebsk,806.579
