year,region,tp_warm
1966,Brest,337.005
1966,Gomel,272.279
1966,Grodno,381.565
1966,Minsk,351.972
1966,Mogilev,313.064
1966,Vitebsk,378.637
1967,Brest,305.586
1967,Gomel,308.209
1967,Grodno,347.384
1967,Minsk,324.959
1967,Mogilev,327.016
1967,Vitebsk,313.726
1968,Brest,424.112
1968,Gomel,394.503
1968,Grodno,382.548
1968,Minsk,378.393
1968,Mogilev,329.610
1968,Vitebsk,396.665
1969,Brest,324.653
1969,Gomel,413.478
1969,Grodno,365.625
1969,Minsk,370.702
1969,Mogilev,417.951
1969,Vitebsk,349.918
1970,Brest,448.238
1970,Gomel,427.876
1970,Grodno,394.479
1970,Minsk,425.305
1970,Mogilev,347.258
1970,Vitebsk,410.172
1971,Brest,357.641
1971,Gomel,420.176
1971,Grodno,312.745
1971,Minsk,322.416
1971,Mogilev,407.895
1971,Vitebsk,362.693
1972,Brest,469.435
1972,Gomel,386.246
1972,Grodno,489.282
1972,Minsk,438.578
1972,Mogilev,390.244
1972,Vitebsk,376.187
1973,Brest,400.341
1973,Gomel,351.249
1973,Grodno,420.403
1973,Minsk,417.281
1973,Mogilev,420.329
1973,Vitebsk,416.957
1974,Brest,507.312
1974,Gomel,519.143
1974,Grodno,438.048
1974,Minsk,450.381
1974,Mogilev,473.805
1974,Vitebsk,418.935
1975,Brest,403.128
1975,Gomel,330.266
1975,Grodno,336.840
1975,Minsk,306.219
1975,Mogilev,284.207
1975,Vitebsk,274.582
1976,Brest,324.180
1976,Gomel,319.034
1976,Grodno,292.581
1976,Minsk,289.711
1976,Mogilev,290.792
1976,Vitebsk,291.891
1977,Brest,473.578
1977,Gomel,455.978
1977,Grodno,451.262
1977,Minsk,498.825
1977,Mogilev,428.951
1977,Vitebsk,438.177
1978,Brest,392.786
1978,Gomel,408.790
1978,Grodno,456.068
1978,Minsk,464.533
1978,Mogilev,407.398
1978,Vitebsk,497.493
1979,Brest,309.108
1979,Gomel,295.876
1979,Grodno,338.242
1979,Minsk,353.099
1979,Mogilev,319.782
1979,Vitebsk,404.876
1980,Brest,502.620
1980,Gomel,551.776
1980,Grodno,486.868
1980,Minsk,467.817
1980,Mogilev,528.178
1980,Vitebsk,453.616
1981,Brest,341.909
1981,Gomel,326.216
1981,Grodno,366.307
1981,Minsk,359.483
1981,Mogilev,313.600
1981,Vitebsk,373.564
1982,Brest,352.257
1982,Gomel,397.741
1982,Grodno,352.590
1982,Minsk,418.518
1982,Mogilev,400.767
1982,Vitebsk,408.401
1983,Brest,373.819
1983,Gomel,266.980
1983,Grodno,351.542
1983,Minsk,274.264
1983,Mogilev,288.860
1983,Vitebsk,298.043
1984,Brest,455.968
1984,Gomel,475.225
1984,Grodno,424.244
1984,Minsk,436.118
