year,region,e_Nov
1953,Grodno,8.119
1953,Minsk,7.139
1953,Mogilev,6.978
1953,Vitebsk,8.084
1954,Brest,9.223
1954,Gomel,10.055
1954,Grodno,9.603
1954,Minsk,9.330
1954,Mogilev,8.807
1954,Vitebsk,11.174
1955,Brest,9.341
1955,Gomel,8.364
1955,Grodno,8.848
1955,Minsk,8.190
1955,Mogilev,8.085
1955,Vitebsk,9.410
1956,Brest,9.775
1956,Gomel,7.322
1956,Grodno,7.946
1956,Minsk,6.697
1956,Mogilev,5.326
1956,Vitebsk,7.775
1957,Brest,9.504
1957,Gomel,9.262
1957,Grodno,9.776
1957,Minsk,9.164
1957,Mogilev,9.128
1957,Vitebsk,10.197
1958,Brest,10.728
1958,Gomel,11.197
1958,Grodno,9.048
1958,Minsk,9.650
1958,Mogilev,10.292
1958,Vitebsk,9.689
1959,Brest,9.585
1959,Gomel,11.647
1959,Grodno,8.551
1959,Minsk,9.487
1959,Mogilev,10.332
1959,Vitebsk,10.125
1960,Brest,9.941
1960,Gomel,9.910
1960,Grodno,9.095
1960,Minsk,8.386
1960,Mogilev,7.884
1960,Vitebsk,7.853
1961,Brest,10.119
1961,Gomel,7.931
1961,Grodno,10.835
1961,Minsk,8.096
1961,Mogilev,6.691
1961,Vitebsk,9.501
1962,Brest,12.100
1962,Gomel,11.412
1962,Grodno,10.376
1962,Minsk,9.310
1962,Mogilev,8.733
1962,Vitebsk,9.045
1963,Brest,17.793
1963,Gomel,13.582
1963,Grodno,17.132
1963,Minsk,14.381
1963,Mogilev,12.177
1963,Vitebsk,12.937
1964,Brest,12.707
1964,Gomel,10.421
1964,Grodno,10.299
1964,Minsk,7.894
1964,Mogilev,6.990
1964,Vitebsk,8.181
1965,Brest,10.562
1965,Gomel,10.179
1965,Grodno,9.482
1965,Minsk,9.591
1965,Mogilev,8.637
1965,Vitebsk,9.637
1966,Brest,7.320
1966,Gomel,6.208
1966,Grodno,6.629
1966,Minsk,6.194
1966,Mogilev,6.341
1966,Vitebsk,6.304
1967,Brest,14.710
1967,Gomel,15.492
1967,Grodno,13.534
1967,Minsk,14.009
1967,Mogilev,13.760
1967,Vitebsk,14.664
1968,Brest,10.025
1968,Gomel,8.566
1968,Grodno,9.276
1968,Minsk,7.407
1968,Mogilev,6.650
1968,Vitebsk,6.815
1969,Brest,16.336
1969,Gomel,15.002
1969,Grodno,16.498
1969,Minsk,13.449
1969,Mogilev,13.266
1969,Vitebsk,13.519
1970,Brest,15.604
1970,Gomel,13.186
