year,region,tp_summer
1957,Vitebsk,316.935
1958,Brest,248.413
1958,Gomel,329.988
1958,Grodno,263.050
1958,Minsk,278.511
1958,Mogilev,291.902
1958,Vitebsk,259.401
1959,Brest,200.810
1959,Gomel,111.383
1959,Grodno,217.217
1959,Minsk,121.721
1959,Mogilev,105.653
1959,Vitebsk,112.087
1960,Brest,265.432
1960,Gomel,197.717
1960,Grodno,345.784
1960,Minsk,260.181
1960,Mogilev,238.868
1960,Vitebsk,273.405
1961,Brest,179.916
1961,Gomel,228.875
1961,Grodno,203.128
1961,Minsk,218.152
1961,Mogilev,236.420
1961,Vitebsk,280.988
1962,Brest,248.640
1962,Gomel,350.090
1962,Grodno,304.542
1962,Minsk,348.274
1962,Mogilev,414.580
1962,Vitebsk,373.986
1963,Brest,182.673
1963,Gomel,160.759
1963,Grodno,223.093
1963,Minsk,200.005
1963,Mogilev,214.903
1963,Vitebsk,238.692
1964,Brest,188.725
1964,Gomel,285.673
1964,Grodno,167.225
1964,Minsk,232.689
1964,Mogilev,239.710
1964,Vitebsk,191.933
1965,Brest,266.619
1965,Gomel,329.799
1965,Grodno,230.271
1965,Minsk,300.206
1965,Mogilev,300.564
1965,Vitebsk,270.261
1966,Brest,237.319
1966,Gomel,184.969
1966,Grodno,235.757
1966,Minsk,228.717
1966,Mogilev,205.886
1966,Vitebsk,235.180
1967,Brest,198.070
1967,Gomel,214.277
1967,Grodno,234.797
1967,Minsk,190.403
1967,Mogilev,228.234
1967,Vitebsk,191.655
1968,Brest,271.262
1968,Gomel,225.529
1968,Grodno,229.502
1968,Minsk,241.371
1968,Mogilev,198.615
1968,Vitebsk,237.638
1969,Brest,221.846
1969,Gomel,303.850
1969,Grodno,232.184
1969,Minsk,241.034
1969,Mogilev,296.440
1969,Vitebsk,225.405
1970,Brest,291.284
1970,Gomel,293.997
1970,Grodno,258.647
1970,Minsk,286.561
1970,Mogilev,229.618
1970,Vitebsk,276.509
1971,Brest,210.784
1971,Gomel,256.548
1971,Grodno,201.312
1971,Minsk,190.425
1971,Mogilev,241.479
1971,Vitebsk,233.898
1972,Brest,314.680
1972,Gomel,234.044
1972,Grodno,331.022
1972,Minsk,273.545
1972,Mogilev,227.627
1972,Vitebsk,225.086
1973,Brest,253.365
1973,Gomel,209.461
1973,Grodno,282.340
1973,Minsk,266.655
1973,Mogilev,257.916
1973,Vitebsk,234.314
1974,Brest,346.931
1974,Gomel,412.388
1974,Grodno,289.095
1974,Minsk,321.180
1974,Mogilev,367.417
1974,Vitebsk,306.839
1975,Brest,277.926
1975,Gomel,272.550
1975,Grodno,237.937
1975,Minsk,223.488
1975,Mogilev,231.370
1975,Vitebsk,215.772
1976,Brest,165.476
1976,Gomel,195.804
1976,Grodno,175.825
1976,Minsk,175.305
1976,Mogilev,191.471
