year,region,e_Jun
1966,Vitebsk,101.982
1967,Brest,104.681
1967,Gomel,103.746
1967,Grodno,96.783
1967,Minsk,106.712
1967,Mogilev,99.799
1967,Vitebsk,99.491
1968,Brest,114.052
1968,Gomel,105.445
1968,Grodno,108.345
1968,Minsk,105.656
1968,Mogilev,95.092
1968,Vitebsk,105.389
1969,Brest,101.141
1969,Gomel,101.437
1969,Grodno,100.286
1969,Minsk,99.108
1969,Mogilev,95.696
1969,Vitebsk,94.108
1970,Brest,98.105
1970,Gomel,99.166
1970,Grodno,95.245
1970,Minsk,98.104
1970,Mogilev,91.184
1970,Vitebsk,93.012
1971,Brest,87.605
1971,Gomel,93.572
1971,Grodno,79.282
1971,Minsk,82.327
1971,Mogilev,90.887
1971,Vitebsk,82.946
1972,Brest,96.393
1972,Gomel,96.471
1972,Grodno,97.523
1972,Minsk,103.580
1972,Mogilev,103.756
1972,Vitebsk,106.565
1973,Brest,98.531
1973,Gomel,93.747
1973,Grodno,97.457
1973,Minsk,101.631
1973,Mogilev,104.982
1973,Vitebsk,102.864
1974,Brest,88.874
1974,Gomel,94.464
1974,Grodno,79.056
1974,Minsk,86.029
1974,Mogilev,90.898
1974,Vitebsk,89.382
1975,Brest,96.281
1975,Gomel,108.338
1975,Grodno,87.988
1975,Minsk,96.307
1975,Mogilev,100.481
1975,Vitebsk,91.061
1976,Brest,97.125
1976,Gomel,90.849
1976,Grodno,95.524
1976,Minsk,97.613
1976,Mogilev,96.594
1976,Vitebsk,94.085
1977,Brest,102.452
1977,Gomel,105.268
1977,Grodno,98.209
1977,Minsk,102.292
1977,Mogilev,101.819
1977,Vitebsk,97.632
1978,Brest,87.289
1978,Gomel,100.538
1978,Grodno,95.067
1978,Minsk,100.896
1978,Mogilev,97.391
1978,Vitebsk,94.322
1979,Brest,94.811
1979,Gomel,93.829
1979,Grodno,82.027
1979,Minsk,87.151
1979,Mogilev,86.353
1979,Vitebsk,94.424
1980,Brest,91.697
1980,Gomel,103.042
1980,Grodno,89.023
1980,Minsk,99.902
1980,Mogilev,105.095
1980,Vitebsk,97.047
1981,Brest,85.661
1981,Gomel,96.341
1981,Grodno,82.235
1981,Minsk,90.368
1981,Mogilev,98.153
1981,Vitebsk,94.439
1982,Brest,94.669
1982,Gomel,93.051
1982,Grodno,90.323
1982,Minsk,98.187
1982,Mogilev,97.378
1982,Vitebsk,94.943
1983,Brest,101.513
1983,Gomel,96.761
1983,Grodno,95.854
