year,region,tp_winter
1959,Gomel,126.811
1959,Grodno,136.975
1959,Minsk,139.722
1959,Mogilev,155.288
1959,Vitebsk,141.325
1960,Brest,109.759
1960,Gomel,133.169
1960,Grodno,117.174
1960,Minsk,129.299
1960,Mogilev,145.069
1960,Vitebsk,137.290
1961,Brest,132.897
1961,Gomel,149.688
1961,Grodno,134.701
1961,Minsk,123.437
1961,Mogilev,149.454
1961,Vitebsk,146.769
1962,Brest,107.424
1962,Gomel,107.199
1962,Grodno,99.878
1962,Minsk,102.795
1962,Mogilev,104.254
1962,Vitebsk,108.103
1963,Brest,110.325
1963,Gomel,103.151
1963,Grodno,106.959
1963,Minsk,105.313
1963,Mogilev,108.045
1963,Vitebsk,92.114
1964,Brest,169.005
1964,Gomel,173.145
1964,Grodno,157.532
1964,Minsk,173.643
1964,Mogilev,182.167
1964,Vitebsk,181.893
1965,Brest,176.972
1965,Gomel,199.388
1965,Grodno,152.380
1965,Minsk,171.932
1965,Mogilev,194.598
1965,Vitebsk,164.148
1966,Brest,152.501
1966,Gomel,152.577
1966,Grodno,161.659
1966,Minsk,137.937
1966,Mogilev,159.058
1966,Vitebsk,141.546
1967,Brest,172.464
1967,Gomel,182.014
1967,Grodno,155.503
1967,Minsk,148.753
1967,Mogilev,164.883
1967,Vitebsk,133.821
1968,Brest,87.790
1968,Gomel,133.424
1968,Grodno,85.675
1968,Minsk,109.831
1968,Mogilev,139.021
1968,Vitebsk,117.817
1969,Brest,192.025
1969,Gomel,208.524
1969,Grodno,168.024
1969,Minsk,174.778
1969,Mogilev,188.671
1969,Vitebsk,152.949
1970,Brest,155.818
1970,Gomel,161.876
1970,Grodno,147.553
1970,Minsk,152.142
1970,Mogilev,170.557
1970,Vitebsk,159.324
1971,Brest,126.250
1971,Gomel,120.041
1971,Grodno,117.501
1971,Minsk,118.873
1971,Mogilev,97.150
1971,Vitebsk,106.567
1972,Brest,117.400
1972,Gomel,121.454
1972,Grodno,125.923
1972,Minsk,126.860
1972,Mogilev,121.603
1972,Vitebsk,141.186
1973,Brest,99.082
1973,Gomel,101.186
1973,Grodno,126.706
1973,Minsk,111.099
1973,Mogilev,106.336
1973,Vitebsk,134.943
1974,Brest,135.763
1974,Gomel,147.246
1974,Grodno,161.571
1974,Minsk,165.847
1974,Mogilev,167.045
1974,Vitebsk,186.385
1975,Brest,133.178
1975,Gomel,129.128
1975,Grodno,137.217
1975,Minsk,130.370
1975,Mogilev,126.274
1975,Vitebsk,153.556
1976,Brest,148.533
1976,Gomel,151.925
1976,Grodno,157.746
1976,Minsk,160.361
1976,Mogilev,181.760
1976,Vitebsk,167.987
1977,Brest,139.527
1977,Gomel,106.294
1977,Grodno,155.373
1977,Minsk,133.183
1977,Mogilev,124.353
1977,Vitebsk,145.938
1978,Brest,180.205
1978,Gomel,172.299
1978,Grodno,169.656
1978,Minsk,170.561
1978,Mogilev,166.972
1978,Vitebsk,144.970
1979,Brest,125.845
1979,Gomel,122.657
1979,Grodno,138.153
1979,Minsk,140.630
1979,Mogilev,140.662
1979,Vitebsk,145.611
1980,Brest,138.682
1980,Gomel,149.856
1980,Grodno,147.759
1980,Minsk,143.488
1980,Mogilev,153.147
1980,Vitebsk,154.018
1981,Brest,154.085
1981,Gomel,156.278
1981,Grodno,165.949
1981,Minsk,164.385
1981,Mogilev,164.312
1981,Vitebsk,159.624
1982,Brest,189.135
1982,Gomel,167.504
1982,Grodno,200.112
1982,Minsk,189.369
1982,Mogilev,180.583
1982,Vitebsk,197.851
