year,region,tp_Apr
1978,Brest,42.527
1978,Gomel,25.891
1978,Grodno,46.098
1978,Minsk,43.982
1978,Mogilev,35.113
1978,Vitebsk,47.949
1979,Brest,38.429
1979,Gomel,35.638
1979,Grodno,37.598
1979,Minsk,28.746
1979,Mogilev,30.458
1979,Vitebsk,32.084
1980,Brest,39.538
1980,Gomel,45.925
1980,Grodno,43.154
1980,Minsk,41.360
1980,Mogilev,45.798
1980,Vitebsk,27.593
1981,Brest,14.209
1981,Gomel,28.652
1981,Grodno,20.881
1981,Minsk,18.931
1981,Mogilev,26.766
1981,Vitebsk,21.589
1982,Brest,29.747
1982,Gomel,56.178
1982,Grodno,38.765
1982,Minsk,43.468
1982,Mogilev,58.450
1982,Vitebsk,44.152
1983,Brest,48.422
1983,Gomel,77.350
1983,Grodno,53.638
1983,Minsk,56.827
1983,Mogilev,74.137
1983,Vitebsk,63.227
1984,Brest,17.483
1984,Gomel,13.772
1984,Grodno,21.285
1984,Minsk,18.976
1984,Mogilev,14.636
1984,Vitebsk,23.292
1985,Brest,50.661
1985,Gomel,38.510
1985,Grodno,55.505
1985,Minsk,54.961
1985,Mogilev,31.459
1985,Vitebsk,45.896
1986,Brest,32.158
1986,Gomel,27.444
1986,Grodno,43.216
1986,Minsk,31.097
1986,Mogilev,33.766
1986,Vitebsk,47.533
1987,Brest,24.950
1987,Gomel,25.741
1987,Grodno,27.253
1987,Minsk,27.520
1987,Mogilev,38.805
1987,Vitebsk,19.111
1988,Brest,27.877
1988,Gomel,28.283
1988,Grodno,25.438
1988,Minsk,25.562
1988,Mogilev,26.237
1988,Vitebsk,24.266
1989,Brest,37.840
1989,Gomel,39.203
1989,Grodno,57.464
1989,Minsk,50.571
1989,Mogilev,44.698
1989,Vitebsk,50.486
1990,Brest,32.260
1990,Gomel,63.152
1990,Grodno,20.038
1990,Minsk,26.604
1990,Mogilev,41.202
1990,Vitebsk,13.151
1991,Brest,28.742
1991,Gomel,43.807
1991,Grodno,31.402
1991,Minsk,25.458
1991,Mogilev,33.464
1991,Vitebsk,28.115
1992,Brest,44.495
1992,Gomel,19.047
1992,Grodno,64.089
1992,Minsk,48.164
1992,Mogilev,21.994
1992,Vitebsk,43.416
1993,Brest,28.742
1993,Gomel,40.540
1993,Grodno,35.423
1993,Minsk,39.981
1993,Mogilev,40.340
1993,Vitebsk,37.274
1994,Brest,55.035
1994,Gomel,44.746
1994,Grodno,52.939
1994,Minsk,48.084
1994,Mogilev,27.847
1994,Vitebsk,42.457
1995,Brest,43.987
1995,Gomel,58.242
1995,Grodno,49.790
1995,Minsk,50.033
1995,Mogilev,88.129
1995,Vitebsk,74.941
1996,Brest,50.715
1996,Gomel,19.488
1996,Grodno,40.695
1996,Minsk,23.866
1996,Mogilev,18.159
1996,Vitebsk,20.897
1997,Brest,41.476
1997,Gomel,44.209
1997,Grodno,50.297
1997,Minsk,46.554
1997,Mogilev,39.676
1997,Vitebsk,44.907
1998,Brest,48.913
1998,Gomel,70.041
1998,Grodno,55.158
1998,Minsk,50.212
1998,Mogilev,58.466
1998,Vitebsk,35.600
1999,Brest,51.398
1999,Gomel,34.576
1999,Grodno,31.388
1999,Minsk,24.984
1999,Mogilev,30.550
1999,Vitebsk,15.364
2000,Brest,57.474
2000,Gomel,40.689
2000,Grodno,51.063
2000,Minsk,61.438
2000,Mogilev,53.768
2000,Vitebsk,63.520
2001,Brest,24.832
2001,Gomel,69.488
2001,Grodno,33.892
2001,Minsk,60.959
2001,Mogilev,53.838
2001,Vitebsk,54.132
2002,Brest,31.043
2002,Gomel,30.760
2002,Grodno,21.775
2002,Minsk,31.223
2002,Mogilev,21.908
2002,Vitebsk,21.253
2003,Brest,37.455
2003,Gomel,43.152
2003,Grodno,38.792
2003,Minsk,37.762
2003,Mogilev,42.109
2003,Vitebsk,37.908
2004,Brest,36.322
2004,Gomel,53.136
2004,Grodno,48.931
2004,Minsk,49.787
2004,Mogilev,48.066
2004,Vitebsk,15.524
2005,Brest,21.395
2005,Gomel,32.760
2005,Grodno,18.011
2005,Minsk,29.880
2005,Mogilev,46.158
2005,Vitebsk,31.778
2006,Brest,27.128
2006,Gomel,37.326
2006,Grodno,35.048
2006,Minsk,36.095
2006,Mogilev,38.642
2006,Vitebsk,41.894
2007,Brest,23.817
2007,Gomel,24.837
2007,Grodno,23.567
2007,Minsk,20.710
2007,Mogilev,20.228
2007,Vitebsk,24.564
2008,Brest,68.600
2008,Gomel,81.563
2008,Grodno,58.182
2008,Minsk,70.315
2008,Mogilev,76.179
2008,Vitebsk,71.968
2009,Brest,15.461
2009,Gomel,5.199
2009,Grodno,11.822
2009,Minsk,9.398
2009,Mogilev,9.225
2009,Vitebsk,15.307
2010,Brest,29.720
2010,Gomel,18.644
2010,Grodno,43.923
2010,Minsk,26.746
2010,Mogilev,25.795
2010,Vitebsk,37.645
2011,Brest,39.753
2011,Gomel,26.326
2011,Grodno,35.711
2011,Minsk,24.870
2011,Mogilev,23.576
2011,Vitebsk,24.030
2012,Brest,59.694
2012,Gomel,81.228
2012,Grodno,67.009
2012,Minsk,78.787
2012,Mogilev,84.856
2012,Vitebsk,72.917
2013,Brest,43.184
2013,Gomel,31.371
2013,Grodno,48.398
2013,Minsk,34.362
2013,Mogilev,35.637
2013,Vitebsk,40.312
2014,Brest,26.672
2014,Gomel,23.222
2014,Grodno,33.107
2014,Minsk,31.619
2014,Mogilev,31.089
2014,Vitebsk,37.313
2015,Brest,29.872
2015,Gomel,25.819
2015,Grodno,43.586
2015,Minsk,45.840
2015,Mogilev,32.568
2015,Vitebsk,51.100
2016,Brest,53.456
2016,Gomel,47.855
2016,Grodno,55.862
2016,Minsk,54.470
2016,Mogilev,48.617
2016,Vitebsk,58.649
2017,Brest,62.084
2017,Gomel,39.925
2017,Grodno,70.768
2017,Minsk,67.020
2017,Mogilev,54.319
2017,Vitebsk,71.466
2018,Brest,33.922
2018,Gomel,18.975
2018,Grodno,43.697
2018,Minsk,32.960
2018,Mogilev,25.988
2018,Vitebsk,26.127
2019,Brest,12.857
2019,Gomel,14.392
2019,Grodno,6.413
2019,Minsk,5.135
2019,Mogilev,4.274
2019,Vitebsk,1.973
2020,Brest,14.677
2020,Gomel,9.595
2020,Grodno,9.056
2020,Minsk,13.796
2020,Mogilev,14.295
2020,Vitebsk,19.110
