year,region,e_Mar
1973,Mogilev,14.199
1973,Vitebsk,14.287
1974,Brest,29.797
1974,Gomel,25.573
1974,Grodno,27.772
1974,Minsk,23.403
1974,Mogilev,21.345
1974,Vitebsk,18.056
1975,Brest,26.224
1975,Gomel,23.922
1975,Grodno,24.387
1975,Minsk,20.395
1975,Mogilev,16.717
1975,Vitebsk,15.391
1976,Brest,13.089
1976,Gomel,8.774
1976,Grodno,13.769
1976,Minsk,8.243
1976,Mogilev,7.671
1976,Vitebsk,12.074
1977,Brest,24.299
1977,Gomel,22.049
1977,Grodno,18.527
1977,Minsk,13.231
1977,Mogilev,12.364
1977,Vitebsk,10.889
1978,Brest,21.047
1978,Gomel,17.124
1978,Grodno,15.321
1978,Minsk,12.108
1978,Mogilev,10.609
1978,Vitebsk,10.708
1979,Brest,9.189
1979,Gomel,7.949
1979,Grodno,7.987
1979,Minsk,6.937
1979,Mogilev,6.092
1979,Vitebsk,9.892
1980,Brest,13.152
1980,Gomel,11.014
1980,Grodno,10.684
1980,Minsk,7.437
1980,Mogilev,7.663
1980,Vitebsk,10.182
1981,Brest,24.746
1981,Gomel,20.731
1981,Grodno,19.683
1981,Minsk,17.304
1981,Mogilev,16.122
1981,Vitebsk,13.976
1982,Brest,25.806
1982,Gomel,21.453
1982,Grodno,20.011
1982,Minsk,12.855
1982,Mogilev,14.908
1982,Vitebsk,12.598
1983,Brest,26.075
1983,Gomel,21.920
1983,Grodno,21.106
1983,Minsk,14.317
1983,Mogilev,15.351
1983,Vitebsk,13.577
1984,Brest,17.372
1984,Gomel,16.560
1984,Grodno,16.545
1984,Minsk,12.637
1984,Mogilev,12.985
1984,Vitebsk,13.318
1985,Brest,15.064
1985,Gomel,13.480
1985,Grodno,11.383
1985,Minsk,8.445
1985,Mogilev,9.319
1985,Vitebsk,11.541
1986,Brest,21.056
1986,Gomel,15.560
1986,Grodno,18.426
1986,Minsk,12.941
1986,Mogilev,8.641
1986,Vitebsk,10.385
1987,Brest,10.543
1987,Gomel,5.253
1987,Grodno,6.761
1987,Minsk,3.719
1987,Mogilev,4.719
1987,Vitebsk,5.906
1988,Brest,15.698
1988,Gomel,15.857
1988,Grodno,9.187
1988,Minsk,13.161
1988,Mogilev,12.825
1988,Vitebsk,10.517
1989,Brest,33.042
1989,Gomel,29.631
1989,Grodno,30.507
1989,Minsk,25.722
1989,Mogilev,25.409
1989,Vitebsk,26.277
1990,Brest,42.000
1990,Gomel,41.734
1990,Grodno,39.230
1990,Minsk,37.075
1990,Mogilev,35.902
1990,Vitebsk,35.709
1991,Brest,20.641
1991,Gomel,17.425
1991,Grodno,19.190
1991,Minsk,16.397
1991,Mogilev,14.461
1991,Vitebsk,14.868
1992,Brest,30.520
1992,Gomel,25.172
1992,Grodno,27.742
1992,Minsk,23.166
1992,Mogilev,21.388
1992,Vitebsk,20.279
1993,Brest,23.714
1993,Gomel,21.834
1993,Grodno,21.618
1993,Minsk,19.116
1993,Mogilev,18.293
1993,Vitebsk,18.592
1994,Brest,29.837
1994,Gomel,23.779
1994,Grodno,25.595
1994,Minsk,19.020
1994,Mogilev,20.321
1994,Vitebsk,16.339
1995,Brest,29.399
1995,Gomel,27.764
1995,Grodno,26.713
1995,Minsk,25.332
1995,Mogilev,23.721
1995,Vitebsk,23.726
1996,Brest,10.162
1996,Gomel,13.067
1996,Grodno,9.877
1996,Minsk,7.991
1996,Mogilev,12.808
1996,Vitebsk,12.858
1997,Brest,27.798
1997,Gomel,26.447
1997,Grodno,25.889
1997,Minsk,23.380
1997,Mogilev,22.821
1997,Vitebsk,20.950
1998,Brest,27.267
1998,Gomel,23.130
1998,Grodno,24.923
1998,Minsk,19.987
1998,Mogilev,19.351
1998,Vitebsk,18.541
1999,Brest,31.251
1999,Gomel,25.199
1999,Grodno,23.136
1999,Minsk,14.259
1999,Mogilev,17.432
1999,Vitebsk,12.884
2000,Brest,31.732
2000,Gomel,27.266
2000,Grodno,28.829
2000,Minsk,26.275
2000,Mogilev,23.217
2000,Vitebsk,24.757
2001,Brest,27.759
2001,Gomel,24.349
2001,Grodno,23.096
2001,Minsk,18.716
2001,Mogilev,17.744
2001,Vitebsk,15.888
2002,Brest,38.175
2002,Gomel,36.312
2002,Grodno,33.661
2002,Minsk,31.343
2002,Mogilev,30.836
2002,Vitebsk,27.613
2003,Brest,23.020
2003,Gomel,20.655
2003,Grodno,22.434
2003,Minsk,18.347
2003,Mogilev,18.862
2003,Vitebsk,18.420
2004,Brest,23.097
2004,Gomel,21.824
2004,Grodno,20.039
2004,Minsk,14.063
2004,Mogilev,13.605
2004,Vitebsk,11.205
2005,Brest,17.565
2005,Gomel,12.260
2005,Grodno,14.071
2005,Minsk,10.828
2005,Mogilev,10.796
2005,Vitebsk,13.264
2006,Brest,11.317
2006,Gomel,8.391
2006,Grodno,8.262
2006,Minsk,7.353
2006,Mogilev,7.408
2006,Vitebsk,9.924
2007,Brest,35.060
2007,Gomel,33.320
2007,Grodno,31.970
2007,Minsk,28.740
2007,Mogilev,28.961
2007,Vitebsk,25.697
2008,Brest,35.188
2008,Gomel,32.794
2008,Grodno,31.872
2008,Minsk,28.935
2008,Mogilev,28.294
2008,Vitebsk,25.338
2009,Brest,24.208
2009,Gomel,22.282
2009,Grodno,21.903
2009,Minsk,17.184
2009,Mogilev,17.789
2009,Vitebsk,15.698
2010,Brest,30.000
2010,Gomel,17.790
2010,Grodno,25.182
2010,Minsk,16.640
2010,Mogilev,12.485
2010,Vitebsk,12.406
2011,Brest,26.333
2011,Gomel,22.756
2011,Grodno,24.430
2011,Minsk,21.751
2011,Mogilev,19.548
2011,Vitebsk,22.847
2012,Brest,31.445
2012,Gomel,24.850
2012,Grodno,27.094
2012,Minsk,24.173
2012,Mogilev,19.576
2012,Vitebsk,19.499
2013,Brest,18.351
2013,Gomel,14.577
2013,Grodno,18.735
2013,Minsk,12.568
2013,Mogilev,11.770
2013,Vitebsk,16.015
2014,Brest,38.120
2014,Gomel,39.188
2014,Grodno,34.357
2014,Minsk,32.363
2014,Mogilev,33.477
2014,Vitebsk,27.441
2015,Brest,33.652
2015,Gomel,29.599
2015,Grodno,30.915
2015,Minsk,28.910
2015,Mogilev,26.520
2015,Vitebsk,25.909
2016,Brest,27.605
2016,Gomel,26.440
2016,Grodno,22.869
2016,Minsk,21.988
2016,Mogilev,21.266
2016,Vitebsk,19.505
2017,Brest,36.241
2017,Gomel,32.102
2017,Grodno,30.736
2017,Minsk,27.283
2017,Mogilev,26.966
2017,Vitebsk,22.885
2018,Brest,19.396
2018,Gomel,13.714
2018,Grodno,17.413
2018,Minsk,16.521
2018,Mogilev,13.890
2018,Vitebsk,17.859
2019,Brest,35.723
2019,Gomel,34.328
2019,Grodno,32.562
2019,Minsk,30.936
2019,Mogilev,31.166
2019,Vitebsk,29.965
2020,Brest,35.076
2020,Gomel,33.042
2020,Grodno,32.602
2020,Minsk,30.566
2020,Mogilev,30.999
2020,Vitebsk,28.992
2021,Brest,27.105
2021,Gomel,26.315
2021,Grodno,25.082
2021,Minsk,23.424
2021,Mogilev,22.725
2021,Vitebsk,22.072
2022,Brest,29.311
2022,Gomel,28.882
2022,Grodno,28.450
2022,Minsk,27.301
2022,Mogilev,26.766
2022,Vitebsk,25.284
