year,region,e_annual
2016,Brest,580.123
2016,Gomel,555.936
2016,Grodno,567.869
2016,Minsk,547.972
2016,Mogilev,564.451
2016,Vitebsk,552.345
2017,Brest,605.230
2017,Gomel,569.181
2017,Grodno,567.897
2017,Minsk,582.519
2017,Mogilev,577.130
2017,Vitebsk,543.503
2018,Brest,570.215
2018,Gomel,578.513
2018,Grodno,536.794
2018,Minsk,544.188
2018,Mogilev,581.805
2018,Vitebsk,541.717
2019,Brest,598.535
2019,Gomel,533.963
2019,Grodno,551.406
2019,Minsk,549.948
2019,Mogilev,564.055
2019,Vitebsk,549.452
2020,Brest,586.632
2020,Gomel,563.148
2020,Grodno,535.826
2020,Minsk,577.625
2020,Mogilev,605.640
2020,Vitebsk,562.981
2021,Brest,582.252
2021,Gomel,573.203
2021,Grodno,589.839
2021,Minsk,573.585
2021,Mogilev,565.943
2021,Vitebsk,565.266
2022,Brest,557.385
2022,Gomel,571.423
2022,Grodno,568.850
2022,Minsk,574.769
2022,Mogilev,583.674
2022,Vitebsk,546.301
