year,region,e_spring
1971,Vitebsk,133.795
1972,Brest,173.661
1972,Gomel,174.278
1972,Grodno,159.283
1972,Minsk,155.125
1972,Mogilev,157.605
1972,Vitebsk,142.885
1973,Brest,167.126
1973,Gomel,162.465
1973,Grodno,157.737
1973,Minsk,149.751
1973,Mogilev,151.246
1973,Vitebsk,134.996
1974,Brest,147.601
1974,Gomel,139.458
1974,Grodno,139.182
1974,Minsk,135.889
1974,Mogilev,140.608
1974,Vitebsk,132.379
1975,Brest,175.152
1975,Gomel,188.835
1975,Grodno,164.536
1975,Minsk,168.990
1975,Mogilev,171.800
1975,Vitebsk,155.746
1976,Brest,150.951
1976,Gomel,152.348
1976,Grodno,146.864
1976,Minsk,141.161
1976,Mogilev,142.628
1976,Vitebsk,138.125
1977,Brest,163.562
1977,Gomel,164.961
1977,Grodno,148.847
1977,Minsk,146.009
1977,Mogilev,146.380
1977,Vitebsk,137.757
1978,Brest,161.356
1978,Gomel,162.417
1978,Grodno,145.842
1978,Minsk,144.936
1978,Mogilev,146.583
1978,Vitebsk,132.025
1979,Brest,158.455
1979,Gomel,161.589
1979,Grodno,146.404
1979,Minsk,145.682
1979,Mogilev,149.726
1979,Vitebsk,140.533
1980,Brest,138.531
1980,Gomel,140.801
1980,Grodno,124.727
1980,Minsk,120.745
1980,Mogilev,122.778
1980,Vitebsk,116.234
1981,Brest,167.735
1981,Gomel,168.151
1981,Grodno,149.062
1981,Minsk,152.431
1981,Mogilev,158.987
1981,Vitebsk,145.172
1982,Brest,170.092
1982,Gomel,165.765
1982,Grodno,157.105
1982,Minsk,143.159
1982,Mogilev,152.064
1982,Vitebsk,136.446
1983,Brest,183.540
1983,Gomel,184.647
1983,Grodno,169.179
1983,Minsk,162.971
1983,Mogilev,168.245
1983,Vitebsk,150.696
1984,Brest,156.305
1984,Gomel,158.782
1984,Grodno,151.772
1984,Minsk,147.592
1984,Mogilev,150.694
1984,Vitebsk,143.459
1985,Brest,171.638
1985,Gomel,168.622
1985,Grodno,152.502
1985,Minsk,150.314
1985,Mogilev,153.403
1985,Vitebsk,138.364
1986,Brest,171.800
1986,Gomel,160.332
1986,Grodno,155.724
1986,Minsk,156.222
1986,Mogilev,160.451
1986,Vitebsk,138.968
1987,Brest,146.029
1987,Gomel,140.600
1987,Grodno,136.563
1987,Minsk,129.126
1987,Mogilev,125.964
1987,Vitebsk,119.264
1988,Brest,167.034
1988,Gomel,169.253
1988,Grodno,150.955
1988,Minsk,154.440
1988,Mogilev,160.559
1988,Vitebsk,142.022
1989,Brest,193.749
1989,Gomel,193.838
1989,Grodno,181.789
1989,Minsk,176.511
1989,Mogilev,182.668
1989,Vitebsk,165.318
1990,Brest,186.958
1990,Gomel,195.831
1990,Grodno,175.561
1990,Minsk,174.591
1990,Mogilev,182.069
1990,Vitebsk,168.133
1991,Brest,153.129
1991,Gomel,148.254
1991,Grodno,151.233
1991,Minsk,144.046
1991,Mogilev,136.333
1991,Vitebsk,131.466
1992,Brest,168.095
1992,Gomel,167.150
1992,Grodno,163.208
1992,Minsk,158.641
1992,Mogilev,158.619
1992,Vitebsk,154.190
1993,Brest,173.962
1993,Gomel,167.362
1993,Grodno,166.287
1993,Minsk,162.837
1993,Mogilev,164.168
1993,Vitebsk,153.314
1994,Brest,177.162
1994,Gomel,171.318
1994,Grodno,162.439
1994,Minsk,154.716
1994,Mogilev,157.586
1994,Vitebsk,146.514
1995,Brest,181.886
1995,Gomel,177.997
1995,Grodno,168.021
1995,Minsk,166.815
1995,Mogilev,162.918
1995,Vitebsk,153.633
1996,Brest,160.032
1996,Gomel,153.587
1996,Grodno,146.527
1996,Minsk,147.355
1996,Mogilev,147.595
1996,Vitebsk,140.530
1997,Brest,173.819
1997,Gomel,172.571
1997,Grodno,166.579
1997,Minsk,162.338
1997,Mogilev,162.192
1997,Vitebsk,149.526
1998,Brest,178.657
1998,Gomel,170.022
1998,Grodno,170.930
1998,Minsk,165.247
1998,Mogilev,155.095
1998,Vitebsk,148.521
1999,Brest,188.194
1999,Gomel,175.767
1999,Grodno,166.555
1999,Minsk,158.287
1999,Mogilev,158.581
1999,Vitebsk,145.215
2000,Brest,189.185
2000,Gomel,175.000
2000,Grodno,184.402
2000,Minsk,172.344
2000,Mogilev,165.450
2000,Vitebsk,160.539
2001,Brest,159.258
2001,Gomel,184.857
2001,Grodno,163.154
2001,Minsk,166.922
2001,Mogilev,170.590
2001,Vitebsk,160.203
2002,Brest,185.770
2002,Gomel,176.292
2002,Grodno,173.194
2002,Minsk,175.367
2002,Mogilev,175.463
2002,Vitebsk,166.770
2003,Brest,171.478
2003,Gomel,161.077
2003,Grodno,162.462
2003,Minsk,160.431
2003,Mogilev,162.819
2003,Vitebsk,151.300
