year,region,e_summer
1958,Gomel,293.083
1958,Grodno,274.338
1958,Minsk,278.454
1958,Mogilev,280.941
1958,Vitebsk,268.354
1959,Brest,293.838
1959,Gomel,277.140
1959,Grodno,285.770
1959,Minsk,265.975
1959,Mogilev,259.883
1959,Vitebsk,274.416
1960,Brest,280.465
1960,Gomel,262.358
1960,Grodno,283.525
1960,Minsk,285.694
1960,Mogilev,284.938
1960,Vitebsk,288.220
1961,Brest,260.387
1961,Gomel,302.810
1961,Grodno,261.337
1961,Minsk,264.691
1961,Mogilev,286.247
1961,Vitebsk,263.216
1962,Brest,285.465
1962,Gomel,292.173
1962,Grodno,278.264
1962,Minsk,281.171
1962,Mogilev,276.538
1962,Vitebsk,272.079
1963,Brest,264.137
1963,Gomel,262.393
1963,Grodno,273.861
1963,Minsk,261.551
1963,Mogilev,272.651
1963,Vitebsk,268.324
1964,Brest,239.560
1964,Gomel,258.141
1964,Grodno,246.131
1964,Minsk,270.023
1964,Mogilev,265.803
1964,Vitebsk,251.264
1965,Brest,280.087
1965,Gomel,275.349
1965,Grodno,267.582
1965,Minsk,276.353
1965,Mogilev,278.650
1965,Vitebsk,271.231
1966,Brest,268.029
1966,Gomel,276.242
1966,Grodno,277.941
1966,Minsk,269.545
1966,Mogilev,273.184
1966,Vitebsk,275.726
1967,Brest,273.741
1967,Gomel,273.020
1967,Grodno,259.768
1967,Minsk,262.405
1967,Mogilev,257.907
1967,Vitebsk,250.629
1968,Brest,289.641
1968,Gomel,294.911
1968,Grodno,267.731
1968,Minsk,272.064
1968,Mogilev,266.512
1968,Vitebsk,274.481
1969,Brest,252.518
1969,Gomel,277.796
1969,Grodno,260.832
1969,Minsk,268.188
1969,Mogilev,273.051
1969,Vitebsk,261.313
1970,Brest,271.693
1970,Gomel,281.440
1970,Grodno,253.198
1970,Minsk,268.956
1970,Mogilev,258.608
1970,Vitebsk,263.776
1971,Brest,254.122
1971,Gomel,268.342
1971,Grodno,235.648
1971,Minsk,213.833
1971,Mogilev,260.808
1971,Vitebsk,246.306
1972,Brest,265.894
1972,Gomel,282.440
1972,Grodno,266.487
1972,Minsk,277.014
1972,Mogilev,290.842
1972,Vitebsk,284.974
1973,Brest,278.604
1973,Gomel,255.326
1973,Grodno,276.587
1973,Minsk,283.314
1973,Mogilev,285.992
1973,Vitebsk,279.319
1974,Brest,262.977
1974,Gomel,286.133
1974,Grodno,241.028
1974,Minsk,259.227
1974,Mogilev,274.453
1974,Vitebsk,256.928
1975,Brest,291.794
1975,Gomel,295.719
1975,Grodno,266.897
1975,Minsk,274.522
1975,Mogilev,278.455
1975,Vitebsk,263.492
1976,Brest,252.404
1976,Gomel,240.391
1976,Grodno,249.625
1976,Minsk,248.662
1976,Mogilev,250.796
1976,Vitebsk,250.576
1977,Brest,266.687
1977,Gomel,276.677
1977,Grodno,250.261
1977,Minsk,258.822
1977,Mogilev,259.110
1977,Vitebsk,247.775
1978,Brest,248.375
1978,Gomel,277.137
1978,Grodno,258.415
1978,Minsk,270.061
1978,Mogilev,269.417
1978,Vitebsk,261.187
1979,Brest,266.296
1979,Gomel,259.219
1979,Grodno,239.042
1979,Minsk,250.371
1979,Mogilev,245.077
1979,Vitebsk,256.594
1980,Brest,254.920
1980,Gomel,284.244
1980,Grodno,243.192
1980,Minsk,262.717
1980,Mogilev,276.655
1980,Vitebsk,253.835
1981,Brest,258.238
1981,Gomel,271.415
1981,Grodno,242.089
1981,Minsk,261.352
1981,Mogilev,262.511
1981,Vitebsk,265.244
1982,Brest,263.969
1982,Gomel,279.784
1982,Grodno,250.350
1982,Minsk,281.074
1982,Mogilev,279.350
1982,Vitebsk,269.389
1983,Brest,273.822
1983,Gomel,256.602
1983,Grodno,258.006
1983,Minsk,239.713
1983,Mogilev,266.647
1983,Vitebsk,258.435
1984,Brest,261.481
1984,Gomel,261.136
1984,Grodno,247.757
1984,Minsk,243.341
1984,Mogilev,252.673
1984,Vitebsk,245.691
1985,Brest,289.337
1985,Gomel,290.975
1985,Grodno,274.172
1985,Minsk,276.424
1985,Mogilev,275.776
1985,Vitebsk,260.592
1986,Brest,272.543
1986,Gomel,268.611
1986,Grodno,259.938
1986,Minsk,255.738
1986,Mogilev,267.199
1986,Vitebsk,267.760
1987,Brest,273.475
1987,Gomel,279.480
1987,Grodno,270.925
1987,Minsk,269.454
1987,Mogilev,274.125
1987,Vitebsk,259.058
1988,Brest,274.798
1988,Gomel,277.976
1988,Grodno,260.403
1988,Minsk,265.540
1988,Mogilev,275.570
1988,Vitebsk,262.309
1989,Brest,265.231
1989,Gomel,276.963
1989,Grodno,273.689
1989,Minsk,263.429
1989,Mogilev,279.411
1989,Vitebsk,270.745
1990,Brest,259.221
1990,Gomel,285.791
1990,Grodno,246.211
1990,Minsk,243.031
1990,Mogilev,267.581
1990,Vitebsk,240.780
1991,Brest,283.580
1991,Gomel,303.126
1991,Grodno,264.719
1991,Minsk,282.405
1991,Mogilev,304.774
1991,Vitebsk,277.165
1992,Brest,283.388
1992,Gomel,270.057
1992,Grodno,242.101
1992,Minsk,240.888
1992,Mogilev,247.997
