year,region,tp_fall
1990,Minsk,268.250
1990,Mogilev,235.252
1990,Vitebsk,267.085
1991,Brest,126.253
1991,Gomel,148.585
1991,Grodno,127.204
1991,Minsk,136.123
1991,Mogilev,171.120
1991,Vitebsk,158.428
1992,Brest,284.192
1992,Gomel,246.207
1992,Grodno,281.182
1992,Minsk,264.823
1992,Mogilev,252.383
1992,Vitebsk,258.712
1993,Brest,131.071
1993,Gomel,172.104
1993,Grodno,152.168
1993,Minsk,148.361
1993,Mogilev,164.367
1993,Vitebsk,177.370
1994,Brest,201.831
1994,Gomel,160.207
1994,Grodno,221.693
1994,Minsk,201.382
1994,Mogilev,186.275
1994,Vitebsk,211.727
1995,Brest,140.849
1995,Gomel,148.026
1995,Grodno,137.408
1995,Minsk,139.730
1995,Mogilev,175.794
1995,Vitebsk,200.453
1996,Brest,150.273
1996,Gomel,199.374
1996,Grodno,162.097
1996,Minsk,169.968
1996,Mogilev,201.569
1996,Vitebsk,218.832
1997,Brest,176.107
1997,Gomel,174.163
1997,Grodno,187.230
1997,Minsk,197.534
1997,Mogilev,201.305
1997,Vitebsk,263.837
1998,Brest,187.412
1998,Gomel,218.629
1998,Grodno,184.092
1998,Minsk,229.662
1998,Mogilev,241.797
1998,Vitebsk,204.691
1999,Brest,148.765
1999,Gomel,151.777
1999,Grodno,148.019
1999,Minsk,125.299
1999,Mogilev,139.152
1999,Vitebsk,133.538
2000,Brest,116.953
2000,Gomel,124.219
2000,Grodno,113.965
2000,Minsk,108.487
2000,Mogilev,113.674
2000,Vitebsk,106.809
2001,Brest,202.234
2001,Gomel,175.447
2001,Grodno,205.812
2001,Minsk,175.620
2001,Mogilev,184.292
2001,Vitebsk,191.983
2002,Brest,214.526
2002,Gomel,215.737
2002,Grodno,223.532
2002,Minsk,204.736
2002,Mogilev,199.414
2002,Vitebsk,189.141
2003,Brest,130.880
2003,Gomel,192.314
2003,Grodno,142.762
2003,Minsk,129.574
2003,Mogilev,190.375
2003,Vitebsk,157.014
2004,Brest,157.570
2004,Gomel,150.300
2004,Grodno,161.266
2004,Minsk,162.622
2004,Mogilev,165.027
2004,Vitebsk,192.070
2005,Brest,79.720
2005,Gomel,103.317
2005,Grodno,102.346
2005,Minsk,98.528
2005,Mogilev,101.972
2005,Vitebsk,119.921
2006,Brest,106.331
2006,Gomel,112.869
2006,Grodno,140.179
2006,Minsk,116.582
2006,Mogilev,119.567
2006,Vitebsk,173.904
2007,Brest,111.439
2007,Gomel,149.554
2007,Grodno,129.736
2007,Minsk,149.626
2007,Mogilev,179.690
2007,Vitebsk,188.628
2008,Brest,189.728
2008,Gomel,160.291
2008,Grodno,180.963
2008,Minsk,181.273
2008,Mogilev,157.303
2008,Vitebsk,183.080
2009,Brest,198.811
2009,Gomel,187.946
2009,Grodno,214.515
2009,Minsk,234.947
2009,Mogilev,228.637
2009,Vitebsk,287.226
2010,Brest,226.760
2010,Gomel,212.298
2010,Grodno,211.281
2010,Minsk,184.007
2010,Mogilev,193.762
2010,Vitebsk,195.793
2011,Brest,67.570
2011,Gomel,69.101
2011,Grodno,82.035
2011,Minsk,93.582
2011,Mogilev,96.088
2011,Vitebsk,130.053
2012,Brest,152.108
2012,Gomel,197.119
2012,Grodno,187.463
2012,Minsk,202.898
2012,Mogilev,211.838
2012,Vitebsk,262.920
2013,Brest,210.719
2013,Gomel,196.499
2013,Grodno,206.290
2013,Minsk,201.253
2013,Mogilev,206.408
2013,Vitebsk,207.191
2014,Brest,81.418
2014,Gomel,48.860
2014,Grodno,98.951
2014,Minsk,67.683
2014,Mogilev,56.690
2014,Vitebsk,85.199
2015,Brest,205.186
2015,Gomel,176.489
2015,Grodno,176.274
2015,Minsk,202.310
2015,Mogilev,172.187
2015,Vitebsk,198.496
2016,Brest,229.933
2016,Gomel,208.849
2016,Grodno,225.940
2016,Minsk,225.116
2016,Mogilev,202.602
2016,Vitebsk,204.582
2017,Brest,243.468
2017,Gomel,220.351
2017,Grodno,272.476
2017,Minsk,257.461
2017,Mogilev,241.975
2017,Vitebsk,239.203
2018,Brest,122.288
2018,Gomel,96.491
2018,Grodno,125.636
2018,Minsk,124.367
2018,Mogilev,112.953
2018,Vitebsk,129.546
2019,Brest,138.598
2019,Gomel,105.306
2019,Grodno,156.035
2019,Minsk,146.902
2019,Mogilev,120.729
2019,Vitebsk,180.818
2020,Brest,155.048
2020,Gomel,165.179
2020,Grodno,149.736
2020,Minsk,154.122
2020,Mogilev,178.580
2020,Vitebsk,179.186
2021,Brest,144.338
2021,Gomel,126.655
2021,Grodno,200.376
2021,Minsk,174.871
2021,Mogilev,165.044
2021,Vitebsk,194.130
2022,Brest,194.030
2022,Gomel,274.158
2022,Grodno,154.295
2022,Minsk,203.652
2022,Mogilev,262.107
2022,Vitebsk,218.157
