year,region,tp_Aug
1980,Grodno,89.391
1980,Minsk,101.856
1980,Mogilev,110.214
1980,Vitebsk,103.882
1981,Brest,64.582
1981,Gomel,47.858
1981,Grodno,78.108
1981,Minsk,68.621
1981,Mogilev,56.931
1981,Vitebsk,67.659
1982,Brest,44.870
1982,Gomel,57.076
1982,Grodno,46.634
1982,Minsk,45.181
1982,Mogilev,47.081
1982,Vitebsk,48.971
1983,Brest,22.619
1983,Gomel,20.771
1983,Grodno,16.510
1983,Minsk,18.090
1983,Mogilev,18.118
1983,Vitebsk,17.252
1984,Brest,26.438
1984,Gomel,34.634
1984,Grodno,31.362
1984,Minsk,33.267
1984,Mogilev,37.302
1984,Vitebsk,36.389
1985,Brest,36.857
1985,Gomel,67.474
1985,Grodno,52.442
1985,Minsk,33.043
1985,Mogilev,76.189
1985,Vitebsk,54.780
1986,Brest,126.243
1986,Gomel,143.929
1986,Grodno,126.015
1986,Minsk,115.617
1986,Mogilev,148.273
1986,Vitebsk,89.857
1987,Brest,54.872
1987,Gomel,101.352
1987,Grodno,77.190
1987,Minsk,64.032
1987,Mogilev,114.721
1987,Vitebsk,106.028
1988,Brest,101.004
1988,Gomel,62.612
1988,Grodno,102.549
1988,Minsk,77.478
1988,Mogilev,65.358
1988,Vitebsk,91.521
1989,Brest,84.709
1989,Gomel,95.634
1989,Grodno,84.927
1989,Minsk,108.624
1989,Mogilev,67.563
1989,Vitebsk,132.871
1990,Brest,72.926
1990,Gomel,42.086
1990,Grodno,75.485
1990,Minsk,49.770
1990,Mogilev,61.929
1990,Vitebsk,95.485
1991,Brest,39.148
1991,Gomel,45.524
1991,Grodno,44.569
1991,Minsk,35.015
1991,Mogilev,45.582
1991,Vitebsk,40.421
1992,Brest,32.838
1992,Gomel,25.605
1992,Grodno,40.281
1992,Minsk,30.147
1992,Mogilev,32.293
1992,Vitebsk,34.101
1993,Brest,36.359
1993,Gomel,27.754
1993,Grodno,64.040
1993,Minsk,44.627
1993,Mogilev,39.048
1993,Vitebsk,65.969
1994,Brest,62.621
1994,Gomel,62.620
1994,Grodno,62.624
1994,Minsk,62.621
1994,Mogilev,62.620
1994,Vitebsk,62.621
1995,Brest,55.189
1995,Gomel,66.826
1995,Grodno,52.800
1995,Minsk,58.344
1995,Mogilev,54.770
1995,Vitebsk,73.623
1996,Brest,35.974
1996,Gomel,59.410
1996,Grodno,19.745
1996,Minsk,19.136
1996,Mogilev,12.979
1996,Vitebsk,12.282
1997,Brest,32.389
1997,Gomel,62.403
1997,Grodno,25.628
1997,Minsk,36.076
1997,Mogilev,58.741
1997,Vitebsk,19.887
1998,Brest,75.748
1998,Gomel,92.319
1998,Grodno,94.315
1998,Minsk,93.051
1998,Mogilev,139.570
1998,Vitebsk,99.932
1999,Brest,57.916
1999,Gomel,83.175
1999,Grodno,64.724
1999,Minsk,50.105
1999,Mogilev,74.021
1999,Vitebsk,72.167
2000,Brest,49.567
2000,Gomel,46.354
2000,Grodno,57.909
2000,Minsk,58.367
2000,Mogilev,56.903
2000,Vitebsk,89.207
2001,Brest,55.849
2001,Gomel,59.542
2001,Grodno,75.852
2001,Minsk,67.146
2001,Mogilev,73.613
2001,Vitebsk,85.822
2002,Brest,34.295
2002,Gomel,42.791
2002,Grodno,31.870
2002,Minsk,33.534
2002,Mogilev,25.206
2002,Vitebsk,14.395
2003,Brest,40.715
2003,Gomel,102.256
2003,Grodno,85.852
2003,Minsk,73.575
2003,Mogilev,124.870
2003,Vitebsk,112.070
2004,Brest,81.782
2004,Gomel,94.293
2004,Grodno,71.148
2004,Minsk,105.389
2004,Mogilev,78.695
2004,Vitebsk,91.551
2005,Brest,90.788
2005,Gomel,69.242
2005,Grodno,138.984
2005,Minsk,133.102
2005,Mogilev,74.504
2005,Vitebsk,85.450
2006,Brest,202.519
2006,Gomel,130.383
2006,Grodno,201.199
2006,Minsk,207.527
2006,Mogilev,160.084
2006,Vitebsk,215.740
2007,Brest,49.136
2007,Gomel,32.223
2007,Grodno,30.264
2007,Minsk,24.292
2007,Mogilev,31.525
2007,Vitebsk,34.080
2008,Brest,66.415
2008,Gomel,62.090
2008,Grodno,70.532
2008,Minsk,77.097
2008,Mogilev,73.712
2008,Vitebsk,80.184
2009,Brest,46.358
2009,Gomel,43.921
2009,Grodno,45.825
2009,Minsk,40.939
2009,Mogilev,52.002
2009,Vitebsk,44.220
2010,Brest,82.589
2010,Gomel,51.711
2010,Grodno,100.532
2010,Minsk,104.295
2010,Mogilev,73.892
2010,Vitebsk,107.764
2011,Brest,55.500
2011,Gomel,61.048
2011,Grodno,62.544
2011,Minsk,67.790
2011,Mogilev,62.659
2011,Vitebsk,95.106
2012,Brest,107.919
2012,Gomel,130.897
2012,Grodno,98.429
2012,Minsk,82.066
2012,Mogilev,98.512
2012,Vitebsk,72.986
2013,Brest,24.791
2013,Gomel,38.571
2013,Grodno,42.954
2013,Minsk,38.938
2013,Mogilev,45.790
2013,Vitebsk,56.778
2014,Brest,96.249
2014,Gomel,69.531
2014,Grodno,106.795
2014,Minsk,115.105
2014,Mogilev,70.122
2014,Vitebsk,111.853
2015,Brest,7.378
2015,Gomel,11.427
2015,Grodno,11.526
2015,Minsk,9.959
2015,Mogilev,11.883
2015,Vitebsk,11.133
2016,Brest,39.106
2016,Gomel,39.328
2016,Grodno,55.217
2016,Minsk,67.106
2016,Mogilev,38.943
2016,Vitebsk,61.661
2017,Brest,40.830
2017,Gomel,65.875
2017,Grodno,71.354
2017,Minsk,86.986
2017,Mogilev,73.704
2017,Vitebsk,102.358
2018,Brest,44.721
2018,Gomel,38.625
2018,Grodno,42.578
2018,Minsk,42.021
2018,Mogilev,27.719
2018,Vitebsk,46.350
2019,Brest,78.257
2019,Gomel,46.267
2019,Grodno,79.072
2019,Minsk,87.008
2019,Mogilev,76.527
2019,Vitebsk,94.092
2020,Brest,57.788
2020,Gomel,57.754
2020,Grodno,57.771
2020,Minsk,57.780
2020,Mogilev,57.785
2020,Vitebsk,57.793
