year,region,tp_May
1981,Mogilev,45.940
1981,Vitebsk,42.354
1982,Brest,96.789
1982,Gomel,47.048
1982,Grodno,83.281
1982,Minsk,84.136
1982,Mogilev,53.968
1982,Vitebsk,77.326
1983,Brest,96.468
1983,Gomel,48.760
1983,Grodno,104.497
1983,Minsk,66.957
1983,Mogilev,66.509
1983,Vitebsk,75.713
1984,Brest,129.399
1984,Gomel,88.027
1984,Grodno,114.995
1984,Minsk,82.873
1984,Mogilev,62.292
1984,Vitebsk,69.800
1985,Brest,111.866
1985,Gomel,67.301
1985,Grodno,94.356
1985,Minsk,77.945
1985,Mogilev,58.319
1985,Vitebsk,40.423
1986,Brest,52.949
1986,Gomel,19.712
1986,Grodno,57.460
1986,Minsk,42.735
1986,Mogilev,32.678
1986,Vitebsk,42.011
1987,Brest,83.102
1987,Gomel,76.237
1987,Grodno,93.331
1987,Minsk,80.298
1987,Mogilev,88.764
1987,Vitebsk,96.794
1988,Brest,72.860
1988,Gomel,39.566
1988,Grodno,65.472
1988,Minsk,39.699
1988,Mogilev,36.094
1988,Vitebsk,40.300
1989,Brest,48.174
1989,Gomel,49.600
1989,Grodno,40.673
1989,Minsk,33.885
1989,Mogilev,44.526
1989,Vitebsk,27.748
1990,Brest,56.666
1990,Gomel,66.469
1990,Grodno,58.955
1990,Minsk,38.692
1990,Mogilev,48.301
1990,Vitebsk,44.924
1991,Brest,86.282
1991,Gomel,118.027
1991,Grodno,77.314
1991,Minsk,88.457
1991,Mogilev,108.897
1991,Vitebsk,91.872
1992,Brest,59.720
1992,Gomel,64.216
1992,Grodno,49.424
1992,Minsk,47.970
1992,Mogilev,45.104
1992,Vitebsk,53.923
1993,Brest,54.723
1993,Gomel,43.795
1993,Grodno,33.117
1993,Minsk,36.950
1993,Mogilev,47.319
1993,Vitebsk,30.184
1994,Brest,76.596
1994,Gomel,67.794
1994,Grodno,92.739
1994,Minsk,79.832
1994,Mogilev,73.117
1994,Vitebsk,92.496
1995,Brest,70.418
1995,Gomel,76.334
1995,Grodno,69.170
1995,Minsk,76.469
1995,Mogilev,76.308
1995,Vitebsk,82.690
1996,Brest,89.185
1996,Gomel,76.226
1996,Grodno,111.360
1996,Minsk,94.755
1996,Mogilev,81.434
1996,Vitebsk,75.047
1997,Brest,93.367
1997,Gomel,75.286
1997,Grodno,93.416
1997,Minsk,91.245
1997,Mogilev,81.154
1997,Vitebsk,70.678
1998,Brest,63.015
1998,Gomel,72.639
1998,Grodno,73.896
1998,Minsk,91.535
1998,Mogilev,84.636
1998,Vitebsk,98.485
1999,Brest,58.697
1999,Gomel,68.902
1999,Grodno,56.806
1999,Minsk,39.882
1999,Mogilev,38.717
1999,Vitebsk,29.828
2000,Brest,34.563
2000,Gomel,49.612
2000,Grodno,43.739
2000,Minsk,42.098
2000,Mogilev,47.836
2000,Vitebsk,40.413
2001,Brest,35.332
2001,Gomel,49.027
2001,Grodno,36.134
2001,Minsk,31.529
2001,Mogilev,53.086
2001,Vitebsk,45.992
2002,Brest,56.082
2002,Gomel,48.743
2002,Grodno,50.900
2002,Minsk,43.958
2002,Mogilev,40.976
2002,Vitebsk,34.493
2003,Brest,77.782
2003,Gomel,55.339
2003,Grodno,93.405
2003,Minsk,88.514
2003,Mogilev,72.922
2003,Vitebsk,111.776
2004,Brest,72.548
2004,Gomel,58.714
2004,Grodno,67.177
2004,Minsk,56.085
2004,Mogilev,44.182
2004,Vitebsk,41.222
2005,Brest,113.260
2005,Gomel,73.764
2005,Grodno,115.470
2005,Minsk,122.045
2005,Mogilev,90.066
2005,Vitebsk,151.299
2006,Brest,75.112
2006,Gomel,91.541
2006,Grodno,81.503
2006,Minsk,89.814
2006,Mogilev,88.523
2006,Vitebsk,97.873
2007,Brest,66.747
2007,Gomel,54.371
2007,Grodno,76.684
2007,Minsk,68.782
2007,Mogilev,75.163
2007,Vitebsk,91.126
2008,Brest,95.010
2008,Gomel,85.934
2008,Grodno,98.527
2008,Minsk,99.976
2008,Mogilev,94.656
2008,Vitebsk,92.975
2009,Brest,78.215
2009,Gomel,86.068
2009,Grodno,58.383
2009,Minsk,88.155
2009,Mogilev,89.421
2009,Vitebsk,63.773
2010,Brest,110.318
2010,Gomel,82.738
2010,Grodno,110.352
2010,Minsk,119.203
2010,Mogilev,118.095
2010,Vitebsk,104.092
2011,Brest,49.835
2011,Gomel,56.399
2011,Grodno,64.695
2011,Minsk,59.083
2011,Mogilev,76.565
2011,Vitebsk,58.331
2012,Brest,46.401
2012,Gomel,45.005
2012,Grodno,40.248
2012,Minsk,45.478
2012,Mogilev,56.038
2012,Vitebsk,43.293
2013,Brest,102.920
2013,Gomel,59.193
2013,Grodno,82.150
2013,Minsk,85.730
2013,Mogilev,77.151
2013,Vitebsk,79.114
2014,Brest,138.331
2014,Gomel,118.352
2014,Grodno,112.890
2014,Minsk,103.535
2014,Mogilev,86.117
2014,Vitebsk,73.805
2015,Brest,71.298
2015,Gomel,66.628
2015,Grodno,106.892
2015,Minsk,67.534
2015,Mogilev,62.525
2015,Vitebsk,67.340
2016,Brest,61.112
2016,Gomel,72.383
2016,Grodno,53.427
2016,Minsk,56.918
2016,Mogilev,73.217
2016,Vitebsk,50.940
2017,Brest,44.746
2017,Gomel,49.371
2017,Grodno,35.854
2017,Minsk,41.971
2017,Mogilev,48.432
2017,Vitebsk,42.783
2018,Brest,31.269
2018,Gomel,24.774
2018,Grodno,24.146
2018,Minsk,23.640
2018,Mogilev,28.620
2018,Vitebsk,33.385
2019,Brest,147.871
2019,Gomel,80.481
2019,Grodno,93.308
2019,Minsk,78.841
2019,Mogilev,76.921
2019,Vitebsk,88.390
2020,Brest,83.784
2020,Gomel,99.451
2020,Grodno,84.567
2020,Minsk,80.270
2020,Mogilev,101.261
2020,Vitebsk,76.407
2021,Brest,87.405
2021,Gomel,110.143
2021,Grodno,116.419
2021,Minsk,117.022
2021,Mogilev,108.305
2021,Vitebsk,131.646
2022,Brest,58.248
2022,Gomel,64.545
2022,Grodno,84.687
2022,Minsk,76.455
2022,Mogilev,70.434
2022,Vitebsk,75.873
