year,region,e_cold
1991,Vitebsk,50.835
1992,Brest,62.970
1992,Gomel,54.651
1992,Grodno,55.224
1992,Minsk,45.723
1992,Mogilev,45.575
1992,Vitebsk,47.276
1993,Brest,61.692
1993,Gomel,48.840
1993,Grodno,51.511
1993,Minsk,38.347
1993,Mogilev,40.262
1993,Vitebsk,34.374
1994,Brest,69.214
1994,Gomel,59.815
1994,Grodno,62.149
1994,Minsk,53.100
1994,Mogilev,48.839
1994,Vitebsk,51.252
1995,Brest,30.985
1995,Gomel,31.227
1995,Grodno,26.610
1995,Minsk,19.109
1995,Mogilev,28.206
1995,Vitebsk,29.533
1996,Brest,62.201
1996,Gomel,63.333
1996,Grodno,60.043
1996,Minsk,54.318
1996,Mogilev,56.823
1996,Vitebsk,55.314
1997,Brest,60.920
1997,Gomel,52.102
1997,Grodno,55.113
1997,Minsk,46.480
1997,Mogilev,44.917
1997,Vitebsk,44.579
1998,Brest,61.627
1998,Gomel,51.405
1998,Grodno,49.503
1998,Minsk,35.601
1998,Mogilev,39.177
1998,Vitebsk,35.149
1999,Brest,70.112
1999,Gomel,56.768
1999,Grodno,61.521
1999,Minsk,54.173
1999,Mogilev,49.834
1999,Vitebsk,55.484
2000,Brest,62.249
2000,Gomel,52.057
2000,Grodno,55.208
2000,Minsk,44.709
2000,Mogilev,43.417
2000,Vitebsk,43.827
2001,Brest,83.955
2001,Gomel,76.339
2001,Grodno,73.726
2001,Minsk,63.622
2001,Mogilev,64.420
2001,Vitebsk,62.412
2002,Brest,47.543
2002,Gomel,44.945
2002,Grodno,42.266
2002,Minsk,36.843
2002,Mogilev,38.223
2002,Vitebsk,39.826
2003,Brest,53.257
2003,Gomel,45.710
2003,Grodno,42.786
2003,Minsk,30.667
2003,Mogilev,30.868
2003,Vitebsk,30.403
2004,Brest,51.361
2004,Gomel,39.741
2004,Grodno,44.685
2004,Minsk,37.253
2004,Mogilev,35.369
2004,Vitebsk,41.143
2005,Brest,30.799
2005,Gomel,25.980
2005,Grodno,26.997
2005,Minsk,24.034
2005,Mogilev,24.547
2005,Vitebsk,29.189
2006,Brest,76.887
2006,Gomel,68.809
2006,Grodno,71.511
2006,Minsk,61.233
2006,Mogilev,57.692
2006,Vitebsk,59.630
2007,Brest,72.491
2007,Gomel,66.980
2007,Grodno,68.850
2007,Minsk,58.868
2007,Mogilev,56.373
2007,Vitebsk,57.238
2008,Brest,54.626
2008,Gomel,48.078
2008,Grodno,49.120
2008,Minsk,37.526
2008,Mogilev,37.666
2008,Vitebsk,39.902
2009,Brest,51.749
2009,Gomel,40.033
2009,Grodno,47.029
2009,Minsk,34.965
2009,Mogilev,30.459
2009,Vitebsk,33.652
2010,Brest,58.442
2010,Gomel,52.674
2010,Grodno,53.017
2010,Minsk,45.296
2010,Mogilev,43.471
2010,Vitebsk,47.636
2011,Brest,60.312
2011,Gomel,48.481
2011,Grodno,55.781
2011,Minsk,47.763
2011,Mogilev,42.443
2011,Vitebsk,48.604
2012,Brest,47.185
2012,Gomel,38.557
2012,Grodno,46.659
2012,Minsk,34.185
2012,Mogilev,33.057
2012,Vitebsk,39.945
2013,Brest,78.930
2013,Gomel,75.673
2013,Grodno,69.486
2013,Minsk,63.781
2013,Mogilev,62.385
2013,Vitebsk,58.363
2014,Brest,68.562
2014,Gomel,56.287
2014,Grodno,63.310
2014,Minsk,55.976
2014,Mogilev,49.892
2014,Vitebsk,51.578
2015,Brest,71.253
2015,Gomel,59.385
2015,Grodno,61.261
2015,Minsk,52.386
2015,Mogilev,50.207
2015,Vitebsk,53.004
2016,Brest,68.967
2016,Gomel,61.045
2016,Grodno,58.460
2016,Minsk,51.029
2016,Mogilev,51.680
2016,Vitebsk,46.017
2017,Brest,52.777
2017,Gomel,41.744
2017,Grodno,46.794
2017,Minsk,39.959
2017,Mogilev,36.973
2017,Vitebsk,43.093
2018,Brest,65.888
2018,Gomel,59.446
2018,Grodno,58.062
2018,Minsk,52.987
2018,Mogilev,52.686
2018,Vitebsk,53.966
2019,Brest,83.099
2019,Gomel,71.624
2019,Grodno,78.299
2019,Minsk,70.334
2019,Mogilev,64.531
2019,Vitebsk,71.996
2020,Brest,53.974
2020,Gomel,49.462
2020,Grodno,45.564
2020,Minsk,42.566
2020,Mogilev,41.794
2020,Vitebsk,46.806
2021,Brest,75.655
2021,Gomel,65.002
2021,Grodno,69.670
2021,Minsk,60.264
2021,Mogilev,56.082
2021,Vitebsk,59.361
