year,region,e_Oct
1961,Mogilev,20.501
1961,Vitebsk,22.559
1962,Brest,21.124
1962,Gomel,22.827
1962,Grodno,20.025
1962,Minsk,20.283
1962,Mogilev,22.145
1962,Vitebsk,21.180
1963,Brest,23.040
1963,Gomel,22.592
1963,Grodno,23.899
1963,Minsk,22.428
1963,Mogilev,22.972
1963,Vitebsk,23.545
1964,Brest,23.743
1964,Gomel,23.721
1964,Grodno,21.860
1964,Minsk,21.268
1964,Mogilev,21.748
1964,Vitebsk,21.602
1965,Brest,21.266
1965,Gomel,20.384
1965,Grodno,20.149
1965,Minsk,21.366
1965,Mogilev,20.073
1965,Vitebsk,20.402
1966,Brest,23.873
1966,Gomel,22.511
1966,Grodno,22.688
1966,Minsk,20.664
1966,Mogilev,21.029
1966,Vitebsk,20.356
1967,Brest,26.121
1967,Gomel,24.086
1967,Grodno,25.763
1967,Minsk,23.807
1967,Mogilev,22.690
1967,Vitebsk,25.601
1968,Brest,24.461
1968,Gomel,25.616
1968,Grodno,22.967
1968,Minsk,21.874
1968,Mogilev,22.848
1968,Vitebsk,22.405
1969,Brest,23.432
1969,Gomel,23.884
1969,Grodno,23.014
1969,Minsk,20.405
1969,Mogilev,20.847
1969,Vitebsk,20.613
1970,Brest,24.358
1970,Gomel,21.424
1970,Grodno,20.870
1970,Minsk,18.385
1970,Mogilev,17.930
1970,Vitebsk,19.180
1971,Brest,28.354
1971,Gomel,27.264
1971,Grodno,26.755
1971,Minsk,25.025
1971,Mogilev,22.949
1971,Vitebsk,24.775
1972,Brest,21.441
1972,Gomel,20.915
1972,Grodno,20.141
1972,Minsk,17.120
1972,Mogilev,18.026
1972,Vitebsk,16.602
1973,Brest,22.964
1973,Gomel,24.133
1973,Grodno,22.145
1973,Minsk,18.870
1973,Mogilev,19.535
1973,Vitebsk,19.229
1974,Brest,29.290
1974,Gomel,29.378
1974,Grodno,27.786
1974,Minsk,27.203
1974,Mogilev,27.034
1974,Vitebsk,27.640
1975,Brest,24.812
1975,Gomel,22.065
1975,Grodno,22.433
1975,Minsk,20.655
1975,Mogilev,18.982
1975,Vitebsk,20.394
1976,Brest,16.550
1976,Gomel,16.557
1976,Grodno,12.946
1976,Minsk,12.689
1976,Mogilev,13.272
1976,Vitebsk,12.710
1977,Brest,20.960
1977,Gomel,21.760
1977,Grodno,19.016
1977,Minsk,19.656
