year,region,tp_cold
1954,Mogilev,221.615
1954,Vitebsk,230.685
1955,Brest,232.569
1955,Gomel,217.244
1955,Grodno,248.517
1955,Minsk,236.184
1955,Mogilev,252.557
1955,Vitebsk,252.482
1956,Brest,193.953
1956,Gomel,196.665
1956,Grodno,203.387
1956,Minsk,185.679
1956,Mogilev,195.279
1956,Vitebsk,208.863
1957,Brest,292.724
1957,Gomel,294.327
1957,Grodno,329.546
1957,Minsk,331.662
1957,Mogilev,323.885
1957,Vitebsk,298.472
1958,Brest,173.241
1958,Gomel,187.616
1958,Grodno,186.714
1958,Minsk,215.686
1958,Mogilev,205.204
1958,Vitebsk,244.236
1959,Brest,181.669
1959,Gomel,194.783
1959,Grodno,214.416
1959,Minsk,219.494
1959,Mogilev,211.933
1959,Vitebsk,214.634
1960,Brest,245.403
1960,Gomel,257.940
1960,Grodno,258.294
1960,Minsk,271.563
1960,Mogilev,269.866
1960,Vitebsk,275.982
1961,Brest,258.644
1961,Gomel,273.412
1961,Grodno,238.062
1961,Minsk,233.146
1961,Mogilev,273.397
1961,Vitebsk,263.540
1962,Brest,202.012
1962,Gomel,220.740
1962,Grodno,188.110
1962,Minsk,213.114
1962,Mogilev,218.175
1962,Vitebsk,227.176
1963,Brest,226.599
1963,Gomel,226.649
1963,Grodno,242.054
1963,Minsk,248.457
1963,Mogilev,261.701
1963,Vitebsk,221.727
1964,Brest,275.698
1964,Gomel,247.278
1964,Grodno,287.398
1964,Minsk,290.881
1964,Mogilev,283.661
1964,Vitebsk,321.470
1965,Brest,281.999
1965,Gomel,302.200
1965,Grodno,264.689
1965,Minsk,288.058
1965,Mogilev,306.753
1965,Vitebsk,287.820
1966,Brest,266.492
1966,Gomel,288.689
1966,Grodno,276.642
1966,Minsk,247.615
1966,Mogilev,280.783
1966,Vitebsk,241.215
1967,Brest,272.794
1967,Gomel,274.540
1967,Grodno,270.881
1967,Minsk,282.100
1967,Mogilev,265.693
1967,Vitebsk,294.267
1968,Brest,155.872
1968,Gomel,207.909
1968,Grodno,139.717
1968,Minsk,161.742
1968,Mogilev,198.376
1968,Vitebsk,163.992
1969,Brest,314.993
1969,Gomel,353.562
1969,Grodno,321.653
1969,Minsk,342.698
1969,Mogilev,355.937
1969,Vitebsk,319.960
1970,Brest,279.378
1970,Gomel,274.088
1970,Grodno,284.895
1970,Minsk,274.094
1970,Mogilev,286.679
1970,Vitebsk,292.738
1971,Brest,212.614
1971,Gomel,208.819
1971,Grodno,216.555
1971,Minsk,221.255
1971,Mogilev,207.141
1971,Vitebsk,211.535
1972,Brest,209.964
1972,Gomel,236.211
1972,Grodno,237.982
1972,Minsk,243.374
1972,Mogilev,247.225
1972,Vitebsk,282.212
1973,Brest,167.223
1973,Gomel,165.184
1973,Grodno,201.120
1973,Minsk,175.083
1973,Mogilev,174.229
1973,Vitebsk,213.102
1974,Brest,220.774
1974,Gomel,266.997
1974,Grodno,257.675
1974,Minsk,281.471
1974,Mogilev,301.700
1974,Vitebsk,302.438
1975,Brest,215.726
1975,Gomel,222.537
1975,Grodno,230.113
1975,Minsk,232.472
1975,Mogilev,232.316
1975,Vitebsk,255.550
1976,Brest,230.110
1976,Gomel,218.831
1976,Grodno,239.428
1976,Minsk,230.512
1976,Mogilev,258.421
1976,Vitebsk,248.818
1977,Brest,233.276
1977,Gomel,230.293
1977,Grodno,259.816
1977,Minsk,238.463
1977,Mogilev,262.297
