year,region,e_Feb
1968,Vitebsk,3.974
1969,Brest,8.950
1969,Gomel,7.624
1969,Grodno,8.702
1969,Minsk,6.894
1969,Mogilev,7.145
1969,Vitebsk,10.365
1970,Brest,3.183
1970,Gomel,2.935
1970,Grodno,2.481
1970,Minsk,1.169
1970,Mogilev,2.261
1970,Vitebsk,2.751
1971,Brest,9.793
1971,Gomel,7.586
1971,Grodno,8.820
1971,Minsk,6.778
1971,Mogilev,5.814
1971,Vitebsk,7.830
1972,Brest,4.911
1972,Gomel,5.854
1972,Grodno,5.427
1972,Minsk,4.282
1972,Mogilev,5.705
1972,Vitebsk,6.135
1973,Brest,10.576
1973,Gomel,9.586
1973,Grodno,10.030
1973,Minsk,8.893
1973,Mogilev,9.218
1973,Vitebsk,8.276
1974,Brest,10.137
1974,Gomel,7.498
1974,Grodno,6.358
1974,Minsk,4.791
1974,Mogilev,5.486
1974,Vitebsk,4.385
1975,Brest,11.046
1975,Gomel,10.028
1975,Grodno,10.179
1975,Minsk,7.860
1975,Mogilev,7.042
1975,Vitebsk,7.446
1976,Brest,5.414
1976,Gomel,3.818
1976,Grodno,5.434
1976,Minsk,3.708
1976,Mogilev,4.726
1976,Vitebsk,5.840
1977,Brest,6.508
1977,Gomel,4.106
1977,Grodno,4.808
1977,Minsk,3.240
1977,Mogilev,2.517
1977,Vitebsk,4.581
1978,Brest,4.642
1978,Gomel,5.594
1978,Grodno,4.087
1978,Minsk,3.805
1978,Mogilev,4.774
1978,Vitebsk,6.159
1979,Brest,4.787
1979,Gomel,3.405
1979,Grodno,3.564
1979,Minsk,2.258
1979,Mogilev,2.475
1979,Vitebsk,3.122
1980,Brest,5.947
1980,Gomel,6.358
1980,Grodno,4.569
1980,Minsk,3.457
1980,Mogilev,4.232
1980,Vitebsk,3.814
1981,Brest,10.922
1981,Gomel,8.779
1981,Grodno,10.958
1981,Minsk,8.140
1981,Mogilev,6.883
1981,Vitebsk,7.818
1982,Brest,6.065
1982,Gomel,5.519
1982,Grodno,4.886
1982,Minsk,3.236
1982,Mogilev,3.487
1982,Vitebsk,4.072
1983,Brest,7.337
1983,Gomel,6.736
1983,Grodno,7.427
1983,Minsk,6.985
1983,Mogilev,7.664
1983,Vitebsk,7.447
1984,Brest,9.035
1984,Gomel,7.206
1984,Grodno,7.967
1984,Minsk,6.350
1984,Mogilev,6.679
1984,Vitebsk,7.285
1985,Brest,3.964
1985,Gomel,1.804
1985,Grodno,3.666
1985,Minsk,1.615
1985,Mogilev,1.056
1985,Vitebsk,2.165
1986,Brest,3.688
1986,Gomel,4.292
1986,Grodno,2.994
1986,Minsk,2.091
1986,Mogilev,2.201
1986,Vitebsk,2.965
1987,Brest,4.494
1987,Gomel,4.301
1987,Grodno,4.092
1987,Minsk,3.246
1987,Mogilev,3.420
1987,Vitebsk,4.718
1988,Brest,8.281
1988,Gomel,6.668
1988,Grodno,7.785
1988,Minsk,7.009
1988,Mogilev,5.987
1988,Vitebsk,6.794
1989,Brest,14.498
1989,Gomel,12.828
1989,Grodno,14.288
1989,Minsk,11.695
1989,Mogilev,10.113
1989,Vitebsk,10.460
1990,Brest,18.072
1990,Gomel,14.740
1990,Grodno,16.270
1990,Minsk,13.879
1990,Mogilev,11.318
1990,Vitebsk,12.429
1991,Brest,5.454
1991,Gomel,4.989
1991,Grodno,4.270
1991,Minsk,4.621
1991,Mogilev,4.265
1991,Vitebsk,5.933
1992,Brest,9.942
1992,Gomel,8.506
1992,Grodno,8.862
1992,Minsk,7.172
1992,Mogilev,7.485
1992,Vitebsk,7.592
1993,Brest,9.154
1993,Gomel,9.300
1993,Grodno,8.414
1993,Minsk,8.447
1993,Mogilev,8.990
1993,Vitebsk,9.623
1994,Brest,7.293
1994,Gomel,5.653
1994,Grodno,5.672
1994,Minsk,4.082
1994,Mogilev,4.786
1994,Vitebsk,4.087
1995,Brest,15.036
1995,Gomel,12.632
1995,Grodno,13.761
1995,Minsk,10.316
