year,region,tp_Jul
1962,Grodno,89.911
1962,Minsk,128.203
1962,Mogilev,168.380
1962,Vitebsk,168.014
1963,Brest,46.942
1963,Gomel,35.187
1963,Grodno,54.030
1963,Minsk,47.772
1963,Mogilev,42.103
1963,Vitebsk,51.808
1964,Brest,50.516
1964,Gomel,150.440
1964,Grodno,40.118
1964,Minsk,89.917
1964,Mogilev,111.132
1964,Vitebsk,77.622
1965,Brest,61.486
1965,Gomel,82.532
1965,Grodno,65.315
1965,Minsk,63.198
1965,Mogilev,69.601
1965,Vitebsk,76.683
1966,Brest,97.897
1966,Gomel,85.962
1966,Grodno,83.763
1966,Minsk,94.026
1966,Mogilev,97.874
1966,Vitebsk,105.709
1967,Brest,61.360
1967,Gomel,46.091
1967,Grodno,65.215
1967,Minsk,54.226
1967,Mogilev,67.382
1967,Vitebsk,44.645
1968,Brest,100.431
1968,Gomel,117.699
1968,Grodno,58.340
1968,Minsk,73.588
1968,Mogilev,87.073
1968,Vitebsk,74.880
1969,Brest,51.756
1969,Gomel,101.610
1969,Grodno,39.646
1969,Minsk,53.481
1969,Mogilev,87.311
1969,Vitebsk,63.561
1970,Brest,95.714
1970,Gomel,103.785
1970,Grodno,88.341
1970,Minsk,92.179
1970,Mogilev,84.459
1970,Vitebsk,106.193
1971,Brest,40.173
1971,Gomel,74.089
1971,Grodno,33.895
1971,Minsk,37.523
1971,Mogilev,49.771
1971,Vitebsk,48.869
1972,Brest,101.793
1972,Gomel,68.938
1972,Grodno,109.195
1972,Minsk,120.063
1972,Mogilev,98.353
1972,Vitebsk,114.999
1973,Brest,124.255
1973,Gomel,121.794
1973,Grodno,159.779
1973,Minsk,141.724
1973,Mogilev,126.038
1973,Vitebsk,120.442
1974,Brest,123.158
1974,Gomel,167.471
1974,Grodno,102.901
1974,Minsk,114.844
1974,Mogilev,164.107
1974,Vitebsk,131.531
1975,Brest,89.575
1975,Gomel,77.147
1975,Grodno,88.071
1975,Minsk,46.337
1975,Mogilev,66.076
1975,Vitebsk,43.554
1976,Brest,47.843
1976,Gomel,76.220
1976,Grodno,52.593
1976,Minsk,54.435
1976,Mogilev,71.296
1976,Vitebsk,51.872
1977,Brest,114.203
1977,Gomel,133.939
1977,Grodno,163.451
1977,Minsk,188.188
1977,Mogilev,140.998
1977,Vitebsk,184.099
1978,Brest,75.764
1978,Gomel,110.353
1978,Grodno,87.413
1978,Minsk,93.912
1978,Mogilev,89.029
1978,Vitebsk,87.713
1979,Brest,71.643
1979,Gomel,86.754
1979,Grodno,86.661
1979,Minsk,95.394
1979,Mogilev,99.473
1979,Vitebsk,109.775
1980,Brest,183.729
1980,Gomel,148.361
1980,Grodno,188.962
1980,Minsk,163.273
1980,Mogilev,165.354
1980,Vitebsk,149.509
1981,Brest,92.264
1981,Gomel,75.844
1981,Grodno,90.760
1981,Minsk,82.422
1981,Mogilev,55.018
1981,Vitebsk,73.731
1982,Brest,76.211
1982,Gomel,141.698
1982,Grodno,59.493
1982,Minsk,100.535
1982,Mogilev,139.401
1982,Vitebsk,98.356
1983,Brest,95.350
1983,Gomel,82.605
1983,Grodno,82.640
1983,Minsk,82.179
1983,Mogilev,84.700
1983,Vitebsk,87.388
1984,Brest,80.119
1984,Gomel,110.253
1984,Grodno,70.438
1984,Minsk,66.691
1984,Mogilev,96.933
1984,Vitebsk,69.987
1985,Brest,88.868
1985,Gomel,101.934
