year,region,tp_Jul
2004,Minsk,80.815
2004,Mogilev,69.448
2004,Vitebsk,69.595
2005,Brest,59.470
2005,Gomel,80.655
2005,Grodno,57.701
2005,Minsk,56.964
2005,Mogilev,73.792
2005,Vitebsk,53.768
2006,Brest,61.867
2006,Gomel,71.716
2006,Grodno,45.381
2006,Minsk,60.816
2006,Mogilev,69.018
2006,Vitebsk,59.094
2007,Brest,193.735
2007,Gomel,168.448
2007,Grodno,173.620
2007,Minsk,121.177
2007,Mogilev,132.680
2007,Vitebsk,112.711
2008,Brest,108.709
2008,Gomel,102.240
2008,Grodno,93.933
2008,Minsk,99.938
2008,Mogilev,71.070
2008,Vitebsk,98.883
2009,Brest,92.535
2009,Gomel,152.204
2009,Grodno,109.416
2009,Minsk,111.828
2009,Mogilev,145.115
2009,Vitebsk,104.220
2010,Brest,85.622
2010,Gomel,78.548
2010,Grodno,104.321
2010,Minsk,85.920
2010,Mogilev,62.782
2010,Vitebsk,63.064
2011,Brest,159.048
2011,Gomel,146.102
2011,Grodno,138.134
2011,Minsk,131.421
2011,Mogilev,113.891
2011,Vitebsk,92.362
2012,Brest,53.936
2012,Gomel,63.912
2012,Grodno,56.483
2012,Minsk,49.202
2012,Mogilev,41.029
2012,Vitebsk,57.139
2013,Brest,63.199
2013,Gomel,57.485
2013,Grodno,79.917
2013,Minsk,72.199
2013,Mogilev,81.849
2013,Vitebsk,99.418
2014,Brest,55.467
2014,Gomel,72.551
2014,Grodno,61.961
2014,Minsk,58.726
2014,Mogilev,60.519
2014,Vitebsk,58.204
2015,Brest,60.755
2015,Gomel,84.072
2015,Grodno,68.751
2015,Minsk,73.286
2015,Mogilev,72.885
2015,Vitebsk,74.042
2016,Brest,119.605
2016,Gomel,86.068
2016,Grodno,164.708
2016,Minsk,142.305
2016,Mogilev,112.837
2016,Vitebsk,148.806
2017,Brest,117.035
2017,Gomel,101.131
2017,Grodno,117.859
2017,Minsk,121.580
2017,Mogilev,95.977
2017,Vitebsk,125.356
2018,Brest,121.913
2018,Gomel,146.607
2018,Grodno,129.881
2018,Minsk,148.619
2018,Mogilev,164.779
2018,Vitebsk,132.841
2019,Brest,77.115
2019,Gomel,88.595
2019,Grodno,62.767
2019,Minsk,97.183
2019,Mogilev,88.333
2019,Vitebsk,133.028
2020,Brest,59.062
2020,Gomel,78.141
2020,Grodno,40.012
2020,Minsk,82.720
2020,Mogilev,87.168
2020,Vitebsk,86.297
