year,region,tp_Nov
1960,Gomel,71.582
1960,Grodno,78.344
1960,Minsk,77.651
1960,Mogilev,56.640
1960,Vitebsk,63.594
1961,Brest,55.143
1961,Gomel,56.061
1961,Grodno,44.805
1961,Minsk,42.821
1961,Mogilev,49.357
1961,Vitebsk,45.004
1962,Brest,63.402
1962,Gomel,67.570
1962,Grodno,54.612
1962,Minsk,67.370
1962,Mogilev,64.494
1962,Vitebsk,79.827
1963,Brest,60.613
1963,Gomel,62.134
1963,Grodno,94.608
1963,Minsk,90.516
1963,Mogilev,87.786
1963,Vitebsk,90.375
1964,Brest,71.670
1964,Gomel,48.933
1964,Grodno,85.922
1964,Minsk,71.468
1964,Mogilev,61.427
1964,Vitebsk,74.986
1965,Brest,61.333
1965,Gomel,40.820
1965,Grodno,60.225
1965,Minsk,60.396
1965,Mogilev,44.817
1965,Vitebsk,61.094
1966,Brest,62.880
1966,Gomel,79.021
1966,Grodno,64.468
1966,Minsk,60.035
1966,Mogilev,65.647
1966,Vitebsk,55.774
1967,Brest,68.470
1967,Gomel,69.556
1967,Grodno,76.121
1967,Minsk,103.514
1967,Mogilev,73.711
1967,Vitebsk,115.909
1968,Brest,35.853
1968,Gomel,34.144
1968,Grodno,37.495
1968,Minsk,35.647
1968,Mogilev,38.180
1968,Vitebsk,34.404
1969,Brest,75.827
1969,Gomel,100.305
1969,Grodno,101.787
1969,Minsk,116.429
1969,Mogilev,116.007
1969,Vitebsk,118.096
1970,Brest,79.673
1970,Gomel,64.140
1970,Grodno,82.446
1970,Minsk,68.986
1970,Mogilev,62.107
1970,Vitebsk,74.137
1971,Brest,48.922
1971,Gomel,53.701
1971,Grodno,50.361
1971,Minsk,54.558
1971,Mogilev,65.609
1971,Vitebsk,59.328
1972,Brest,71.310
1972,Gomel,89.938
1972,Grodno,90.045
1972,Minsk,95.801
1972,Mogilev,102.175
1972,Vitebsk,117.828
1973,Brest,63.740
1973,Gomel,60.190
1973,Grodno,65.502
1973,Minsk,55.982
1973,Mogilev,60.233
1973,Vitebsk,66.422
1974,Brest,55.411
1974,Gomel,79.926
1974,Grodno,62.731
1974,Minsk,67.639
1974,Mogilev,81.099
1974,Vitebsk,65.745
1975,Brest,21.225
1975,Gomel,19.997
1975,Grodno,35.223
1975,Minsk,37.103
1975,Mogilev,28.003
1975,Vitebsk,40.582
1976,Brest,41.275
1976,Gomel,27.739
1976,Grodno,43.202
1976,Minsk,34.815
1976,Mogilev,35.424
1976,Vitebsk,49.233
1977,Brest,65.368
1977,Gomel,83.095
1977,Grodno,61.838
1977,Minsk,70.292
1977,Mogilev,87.929
1977,Vitebsk,74.553
1978,Brest,22.583
1978,Gomel,21.704
1978,Grodno,35.692
1978,Minsk,34.525
1978,Mogilev,34.042
1978,Vitebsk,47.885
1979,Brest,46.223
1979,Gomel,62.931
1979,Grodno,43.281
1979,Minsk,42.127
