year,region,tp_Aug
1960,Vitebsk,74.180
1961,Brest,60.956
1961,Gomel,114.685
1961,Grodno,58.386
1961,Minsk,80.619
1961,Mogilev,114.842
1961,Vitebsk,110.803
1962,Brest,84.255
1962,Gomel,117.410
1962,Grodno,115.661
1962,Minsk,119.698
1962,Mogilev,145.401
1962,Vitebsk,96.538
1963,Brest,82.633
1963,Gomel,75.284
1963,Grodno,84.493
1963,Minsk,90.079
1963,Mogilev,88.661
1963,Vitebsk,107.476
1964,Brest,98.551
1964,Gomel,104.757
1964,Grodno,84.636
1964,Minsk,97.595
1964,Mogilev,88.757
1964,Vitebsk,75.324
1965,Brest,82.212
1965,Gomel,148.313
1965,Grodno,67.822
1965,Minsk,117.842
1965,Mogilev,131.737
1965,Vitebsk,105.660
1966,Brest,71.068
1966,Gomel,34.051
1966,Grodno,81.329
1966,Minsk,68.855
1966,Mogilev,39.298
1966,Vitebsk,73.756
1967,Brest,67.675
1967,Gomel,87.204
1967,Grodno,109.703
1967,Minsk,85.963
1967,Mogilev,99.084
1967,Vitebsk,91.884
1968,Brest,86.089
1968,Gomel,47.236
1968,Grodno,78.113
1968,Minsk,90.990
1968,Mogilev,57.876
1968,Vitebsk,70.797
1969,Brest,88.362
1969,Gomel,97.161
1969,Grodno,103.761
1969,Minsk,90.630
1969,Mogilev,103.684
1969,Vitebsk,67.612
1970,Brest,102.400
1970,Gomel,108.474
1970,Grodno,83.454
1970,Minsk,109.167
1970,Mogilev,84.342
1970,Vitebsk,94.257
1971,Brest,43.415
1971,Gomel,39.096
1971,Grodno,41.399
1971,Minsk,40.321
1971,Mogilev,34.255
1971,Vitebsk,52.475
1972,Brest,103.716
1972,Gomel,61.916
1972,Grodno,125.567
1972,Minsk,65.405
1972,Mogilev,45.985
1972,Vitebsk,41.866
1973,Brest,26.311
1973,Gomel,27.819
1973,Grodno,18.154
1973,Minsk,25.659
1973,Mogilev,32.213
1973,Vitebsk,28.301
1974,Brest,55.479
1974,Gomel,67.660
1974,Grodno,48.384
1974,Minsk,64.313
1974,Mogilev,58.452
1974,Vitebsk,67.397
1975,Brest,60.238
1975,Gomel,72.408
1975,Grodno,32.881
1975,Minsk,37.632
1975,Mogilev,56.239
1975,Vitebsk,57.718
1976,Brest,62.236
1976,Gomel,68.335
1976,Grodno,62.399
1976,Minsk,62.470
1976,Mogilev,60.131
1976,Vitebsk,64.959
1977,Brest,149.856
1977,Gomel,118.744
1977,Grodno,102.767
1977,Minsk,100.258
1977,Mogilev,92.773
1977,Vitebsk,77.347
1978,Brest,75.874
1978,Gomel,57.190
1978,Grodno,81.328
1978,Minsk,68.502
1978,Mogilev,65.467
1978,Vitebsk,87.745
1979,Brest,111.401
1979,Gomel,95.759
1979,Grodno,110.205
1979,Minsk,118.564
1979,Mogilev,95.151
1979,Vitebsk,121.535
1980,Brest,100.149
1980,Gomel,123.701
1980,Grodno,106.830
1980,Minsk,116.972
1980,Mogilev,124.573
1980,Vitebsk,116.140
1981,Brest,77.897
1981,Gomel,58.151
1981,Grodno,88.205
1981,Minsk,79.168
1981,Mogilev,56.610
1981,Vitebsk,79.495
1982,Brest,55.374
1982,Gomel,69.270
1982,Grodno,61.967
1982,Minsk,66.193
1982,Mogilev,71.657
1982,Vitebsk,63.550
1983,Brest,44.131
1983,Gomel,27.954
1983,Grodno,25.440
1983,Minsk,17.519
1983,Mogilev,22.875
1983,Vitebsk,18.101
1984,Brest,24.609
1984,Gomel,40.113
1984,Grodno,30.065
1984,Minsk,40.212
1984,Mogilev,44.364
1984,Vitebsk,43.023
1985,Brest,64.818
1985,Gomel,60.287
1985,Grodno,82.828
