experiment,model,year,region,tas
SSP1-2.6,access_cm2,2048,Vitebsk,-3.1631510277784933
SSP1-2.6,access_cm2,2049,Brest,3.257336110158056
SSP1-2.6,access_cm2,2049,Gomel,2.594978839352894
SSP1-2.6,access_cm2,2049,Grodno,2.2091394669270983
SSP1-2.6,access_cm2,2049,Minsk,1.6127888718869157
SSP1-2.6,access_cm2,2049,Mogilev,1.2492460705509636
SSP1-2.6,access_cm2,2049,Vitebsk,0.044693332866871466
SSP1-2.6,access_cm2,2050,Brest,-1.485714329826364
SSP1-2.6,access_cm2,2050,Gomel,-2.9602688748389725
SSP1-2.6,access_cm2,2050,Grodno,-2.1213817426949975
SSP1-2.6,access_cm2,2050,Minsk,-3.0466451954716076
SSP1-2.6,access_cm2,2050,Mogilev,-3.903547729802521
SSP1-2.6,access_cm2,2050,Vitebsk,-4.357463142197925
SSP1-2.6,access_cm2,2051,Brest,1.0369776076854125
SSP1-2.6,access_cm2,2051,Gomel,0.41752599827606907
SSP1-2.6,access_cm2,2051,Grodno,0.5846927243252771
SSP1-2.6,access_cm2,2051,Minsk,0.08991561552519864
SSP1-2.6,access_cm2,2051,Mogilev,-0.3282148592370647
SSP1-2.6,access_cm2,2051,Vitebsk,-0.6968300762768869
SSP1-2.6,access_cm2,2052,Brest,-0.5240418891256633
SSP1-2.6,access_cm2,2052,Gomel,-1.7694107043263947
SSP1-2.6,access_cm2,2052,Grodno,-1.546692482091255
SSP1-2.6,access_cm2,2052,Minsk,-2.5308268424974085
SSP1-2.6,access_cm2,2052,Mogilev,-3.28355623596189
SSP1-2.6,access_cm2,2052,Vitebsk,-3.902779546662809
SSP1-2.6,access_cm2,2053,Brest,-0.4910225408871255
SSP1-2.6,access_cm2,2053,Gomel,-1.022767540923224
SSP1-2.6,access_cm2,2053,Grodno,-1.2226052319467169
SSP1-2.6,access_cm2,2053,Minsk,-1.699989942536614
SSP1-2.6,access_cm2,2053,Mogilev,-2.171945793579182
SSP1-2.6,access_cm2,2053,Vitebsk,-2.7527819242753173
SSP1-2.6,access_cm2,2054,Brest,-1.0808382069057858
SSP1-2.6,access_cm2,2054,Gomel,-2.295064281378754
SSP1-2.6,access_cm2,2054,Grodno,-1.6437128724437922
SSP1-2.6,access_cm2,2054,Minsk,-2.6164183282956435
SSP1-2.6,access_cm2,2054,Mogilev,-3.489735040120887
SSP1-2.6,access_cm2,2054,Vitebsk,-3.8879803572162817
SSP1-2.6,access_cm2,2055,Brest,-0.30223334253939255
SSP1-2.6,access_cm2,2055,Gomel,-1.5829564959192457
SSP1-2.6,access_cm2,2055,Grodno,-1.0348046278414833
SSP1-2.6,access_cm2,2055,Minsk,-1.899221816298299
SSP1-2.6,access_cm2,2055,Mogilev,-2.771801990465141
SSP1-2.6,access_cm2,2055,Vitebsk,-3.3214062615022097
SSP1-2.6,access_cm2,2056,Brest,2.4507867162297985
SSP1-2.6,access_cm2,2056,Gomel,1.5367222556281632
SSP1-2.6,access_cm2,2056,Grodno,2.0288894856457405
SSP1-2.6,access_cm2,2056,Minsk,1.2420418207694288
SSP1-2.6,access_cm2,2056,Mogilev,0.6463803337352314
SSP1-2.6,access_cm2,2056,Vitebsk,0.24078203226219486
SSP1-2.6,access_cm2,2057,Brest,0.36865989954057105
SSP1-2.6,access_cm2,2057,Gomel,-0.8671316119345422
SSP1-2.6,access_cm2,2057,Grodno,-0.1852784782883704
SSP1-2.6,access_cm2,2057,Minsk,-1.115270402443658
SSP1-2.6,access_cm2,2057,Mogilev,-1.9196668017122396
SSP1-2.6,access_cm2,2057,Vitebsk,-2.245409477791454
SSP1-2.6,access_cm2,2058,Brest,0.7347670263752832
SSP1-2.6,access_cm2,2058,Gomel,-0.28317213887215115
SSP1-2.6,access_cm2,2058,Grodno,0.1457075459138105
SSP1-2.6,access_cm2,2058,Minsk,-0.6549258281954955
SSP1-2.6,access_cm2,2058,Mogilev,-1.4632807012667457
SSP1-2.6,access_cm2,2058,Vitebsk,-1.9309877336150487
SSP1-2.6,access_cm2,2059,Brest,-0.12100587332641642
SSP1-2.6,access_cm2,2059,Gomel,-0.7534335421680645
SSP1-2.6,access_cm2,2059,Grodno,-0.9405837806194298
SSP1-2.6,access_cm2,2059,Minsk,-1.4387562877837285
SSP1-2.6,access_cm2,2059,Mogilev,-1.9452153310491818
SSP1-2.6,access_cm2,2059,Vitebsk,-2.6947169120311822
SSP1-2.6,access_cm2,2060,Brest,0.18582399211848938
SSP1-2.6,access_cm2,2060,Gomel,-0.8067455760866958
SSP1-2.6,access_cm2,2060,Grodno,-0.35420015856412446
SSP1-2.6,access_cm2,2060,Minsk,-1.1390680563151159
SSP1-2.6,access_cm2,2060,Mogilev,-1.7592276559460958
SSP1-2.6,access_cm2,2060,Vitebsk,-2.178958321513383
SSP1-2.6,access_cm2,2061,Brest,2.451686294470458
SSP1-2.6,access_cm2,2061,Gomel,1.436539674149815
SSP1-2.6,access_cm2,2061,Grodno,2.067711965711468
SSP1-2.6,access_cm2,2061,Minsk,1.3760862125055937
SSP1-2.6,access_cm2,2061,Mogilev,0.7323291189725507
SSP1-2.6,access_cm2,2061,Vitebsk,0.6537623373325471
SSP1-2.6,access_cm2,2062,Brest,0.037787414274942505
SSP1-2.6,access_cm2,2062,Gomel,-1.2584081917336605
SSP1-2.6,access_cm2,2062,Grodno,-0.7656203088133735
SSP1-2.6,access_cm2,2062,Minsk,-1.5462328156118266
SSP1-2.6,access_cm2,2062,Mogilev,-2.425621833114022
SSP1-2.6,access_cm2,2062,Vitebsk,-2.919288685423484
SSP1-2.6,access_cm2,2063,Brest,-1.5790194256843249
SSP1-2.6,access_cm2,2063,Gomel,-2.5814746103363797
SSP1-2.6,access_cm2,2063,Grodno,-2.4764031012300185
SSP1-2.6,access_cm2,2063,Minsk,-3.2433107745357326
SSP1-2.6,access_cm2,2063,Mogilev,-3.988402549364418
SSP1-2.6,access_cm2,2063,Vitebsk,-4.529316164879706
SSP1-2.6,access_cm2,2064,Brest,-0.9296682318219504
SSP1-2.6,access_cm2,2064,Gomel,-2.441517709692644
SSP1-2.6,access_cm2,2064,Grodno,-1.6726939556839697
SSP1-2.6,access_cm2,2064,Minsk,-2.6167391616688427
SSP1-2.6,access_cm2,2064,Mogilev,-3.3146165492863133
SSP1-2.6,access_cm2,2064,Vitebsk,-3.6396353963617294
SSP1-2.6,access_cm2,2065,Brest,2.0688269169870317
SSP1-2.6,access_cm2,2065,Gomel,0.8847188186696798
SSP1-2.6,access_cm2,2065,Grodno,1.3425890159749734
SSP1-2.6,access_cm2,2065,Minsk,0.4606971115942427
SSP1-2.6,access_cm2,2065,Mogilev,-0.388043793344255
SSP1-2.6,access_cm2,2065,Vitebsk,-1.0189530550461827
SSP1-2.6,access_cm2,2066,Brest,-0.08800586687226003
SSP1-2.6,access_cm2,2066,Gomel,-0.4866483115913161
SSP1-2.6,access_cm2,2066,Grodno,-0.7513902695014106
SSP1-2.6,access_cm2,2066,Minsk,-1.3067162573822568
SSP1-2.6,access_cm2,2066,Mogilev,-1.7031575449584102
SSP1-2.6,access_cm2,2066,Vitebsk,-2.6919628831047153
SSP1-2.6,access_cm2,2067,Brest,-3.8357757799060637
SSP1-2.6,access_cm2,2067,Gomel,-4.88266919998155
SSP1-2.6,access_cm2,2067,Grodno,-4.617155695182938
SSP1-2.6,access_cm2,2067,Minsk,-5.590295948385049
SSP1-2.6,access_cm2,2067,Mogilev,-6.1107594680956785
SSP1-2.6,access_cm2,2067,Vitebsk,-6.715894004881116
SSP1-2.6,access_cm2,2068,Brest,-0.09475098243619388
SSP1-2.6,access_cm2,2068,Gomel,-0.9781005109918849
SSP1-2.6,access_cm2,2068,Grodno,-0.7546993054691931
SSP1-2.6,access_cm2,2068,Minsk,-1.5538183676661899
SSP1-2.6,access_cm2,2068,Mogilev,-2.1627804110994564
SSP1-2.6,access_cm2,2068,Vitebsk,-2.7600364113149274
SSP1-2.6,access_cm2,2069,Brest,1.8076332205804617
SSP1-2.6,access_cm2,2069,Gomel,0.8945258011803493
SSP1-2.6,access_cm2,2069,Grodno,1.2253323623984584
SSP1-2.6,access_cm2,2069,Minsk,0.5165888342415202
SSP1-2.6,access_cm2,2069,Mogilev,-0.02087030579128979
SSP1-2.6,access_cm2,2069,Vitebsk,-0.48874099077154864
SSP1-2.6,access_cm2,2070,Brest,-0.9813622943706166
SSP1-2.6,access_cm2,2070,Gomel,-1.4866179738266
SSP1-2.6,access_cm2,2070,Grodno,-1.3932537248393362
SSP1-2.6,access_cm2,2070,Minsk,-1.840183168810089
