year,region,e_fall
1991,Minsk,75.646
1991,Mogilev,81.640
1991,Vitebsk,77.951
1992,Brest,82.016
1992,Gomel,77.068
1992,Grodno,73.930
1992,Minsk,67.895
1992,Mogilev,67.831
1992,Vitebsk,67.337
1993,Brest,79.329
1993,Gomel,80.402
1993,Grodno,73.056
1993,Minsk,69.166
1993,Mogilev,69.024
1993,Vitebsk,63.217
1994,Brest,90.246
1994,Gomel,94.485
1994,Grodno,84.991
1994,Minsk,83.789
1994,Mogilev,83.970
1994,Vitebsk,81.460
1995,Brest,80.962
1995,Gomel,78.978
1995,Grodno,76.697
1995,Minsk,74.101
1995,Mogilev,76.226
1995,Vitebsk,77.673
1996,Brest,76.811
1996,Gomel,75.684
1996,Grodno,75.439
1996,Minsk,68.091
1996,Mogilev,67.265
1996,Vitebsk,69.142
1997,Brest,87.641
1997,Gomel,87.146
1997,Grodno,85.097
1997,Minsk,82.609
1997,Mogilev,78.871
1997,Vitebsk,82.021
1998,Brest,90.092
1998,Gomel,95.413
1998,Grodno,87.392
1998,Minsk,85.034
1998,Mogilev,84.533
1998,Vitebsk,83.756
1999,Brest,81.284
1999,Gomel,82.300
1999,Grodno,76.005
1999,Minsk,67.733
1999,Mogilev,74.327
1999,Vitebsk,76.561
2000,Brest,79.853
2000,Gomel,76.644
2000,Grodno,79.102
2000,Minsk,73.703
2000,Mogilev,71.677
2000,Vitebsk,77.749
2001,Brest,88.211
2001,Gomel,90.815
2001,Grodno,85.749
2001,Minsk,83.623
2001,Mogilev,84.860
2001,Vitebsk,86.780
2002,Brest,77.957
2002,Gomel,79.963
2002,Grodno,69.628
2002,Minsk,67.709
2002,Mogilev,65.062
2002,Vitebsk,64.369
2003,Brest,77.412
2003,Gomel,84.287
2003,Grodno,77.900
2003,Minsk,72.938
2003,Mogilev,75.082
2003,Vitebsk,72.114
2004,Brest,87.179
2004,Gomel,79.413
2004,Grodno,82.767
2004,Minsk,80.971
2004,Mogilev,77.505
2004,Vitebsk,79.712
2005,Brest,73.452
2005,Gomel,73.943
2005,Grodno,78.734
2005,Minsk,74.767
2005,Mogilev,71.740
2005,Vitebsk,74.589
2006,Brest,91.274
2006,Gomel,89.075
2006,Grodno,90.232
2006,Minsk,81.625
2006,Mogilev,80.883
2006,Vitebsk,79.042
2007,Brest,80.564
2007,Gomel,84.399
2007,Grodno,78.533
2007,Minsk,71.069
2007,Mogilev,75.933
2007,Vitebsk,72.770
2008,Brest,84.585
2008,Gomel,86.343
2008,Grodno,79.838
2008,Minsk,76.694
2008,Mogilev,78.534
2008,Vitebsk,77.039
2009,Brest,84.861
2009,Gomel,82.746
2009,Grodno,83.544
2009,Minsk,83.397
2009,Mogilev,86.614
2009,Vitebsk,80.877
2010,Brest,90.038
2010,Gomel,95.129
2010,Grodno,84.357
2010,Minsk,82.393
2010,Mogilev,87.624
2010,Vitebsk,79.943
2011,Brest,79.288
2011,Gomel,77.407
2011,Grodno,79.907
2011,Minsk,78.721
2011,Mogilev,77.685
2011,Vitebsk,80.328
2012,Brest,85.378
2012,Gomel,93.894
2012,Grodno,82.395
2012,Minsk,83.052
2012,Mogilev,83.142
2012,Vitebsk,79.119
2013,Brest,83.346
2013,Gomel,86.062
2013,Grodno,77.992
2013,Minsk,79.192
2013,Mogilev,80.576
2013,Vitebsk,77.756
2014,Brest,81.904
2014,Gomel,77.751
2014,Grodno,79.422
2014,Minsk,77.798
2014,Mogilev,72.905
2014,Vitebsk,73.998
2015,Brest,83.959
2015,Gomel,84.250
2015,Grodno,75.205
2015,Minsk,75.490
2015,Mogilev,74.016
2015,Vitebsk,72.554
2016,Brest,77.962
2016,Gomel,74.936
2016,Grodno,80.671
2016,Minsk,71.593
2016,Mogilev,72.585
2016,Vitebsk,74.051
2017,Brest,94.539
2017,Gomel,98.001
2017,Grodno,88.311
2017,Minsk,89.981
2017,Mogilev,88.289
2017,Vitebsk,83.161
2018,Brest,92.974
2018,Gomel,92.578
2018,Grodno,90.869
2018,Minsk,86.413
2018,Mogilev,91.101
2018,Vitebsk,86.590
2019,Brest,90.787
2019,Gomel,83.505
2019,Grodno,86.470
2019,Minsk,85.473
2019,Mogilev,87.343
2019,Vitebsk,87.058
2020,Brest,94.709
2020,Gomel,95.755
2020,Grodno,87.556
2020,Minsk,88.632
2020,Mogilev,94.756
2020,Vitebsk,88.647
2021,Brest,91.323
2021,Gomel,86.368
2021,Grodno,92.580
2021,Minsk,85.982
2021,Mogilev,81.710
2021,Vitebsk,86.200
2022,Brest,75.800
2022,Gomel,80.341
2022,Grodno,70.088
2022,Minsk,70.666
2022,Mogilev,74.300
2022,Vitebsk,68.509
