year,region,tp_Dec
2010,Brest,50.199
2010,Gomel,69.424
2010,Grodno,50.036
2010,Minsk,57.773
2010,Mogilev,69.572
2010,Vitebsk,76.795
2011,Brest,37.976
2011,Gomel,53.961
2011,Grodno,50.171
2011,Minsk,46.098
2011,Mogilev,54.539
2011,Vitebsk,57.986
2012,Brest,55.019
2012,Gomel,82.143
2012,Grodno,51.722
2012,Minsk,60.753
2012,Mogilev,55.115
2012,Vitebsk,50.066
2013,Brest,24.943
2013,Gomel,26.849
2013,Grodno,33.632
2013,Minsk,30.782
2013,Mogilev,29.115
2013,Vitebsk,35.002
2014,Brest,45.500
2014,Gomel,46.091
2014,Grodno,54.467
2014,Minsk,48.495
2014,Mogilev,45.117
2014,Vitebsk,56.106
2015,Brest,46.147
2015,Gomel,44.118
2015,Grodno,55.682
2015,Minsk,43.430
2015,Mogilev,31.697
2015,Vitebsk,33.749
2016,Brest,50.531
2016,Gomel,51.503
2016,Grodno,57.710
2016,Minsk,51.671
2016,Mogilev,45.130
2016,Vitebsk,52.497
2017,Brest,54.326
2017,Gomel,89.366
2017,Grodno,56.612
2017,Minsk,66.156
2017,Mogilev,82.317
2017,Vitebsk,71.576
2018,Brest,73.533
2018,Gomel,56.400
2018,Grodno,79.960
2018,Minsk,63.376
2018,Mogilev,52.205
2018,Vitebsk,48.673
2019,Brest,37.827
2019,Gomel,42.093
2019,Grodno,41.325
2019,Minsk,53.741
2019,Mogilev,41.390
2019,Vitebsk,70.226
2020,Brest,31.436
2020,Gomel,36.208
2020,Grodno,28.263
2020,Minsk,38.934
2020,Mogilev,36.467
2020,Vitebsk,41.572
