year,region,tp_spring
1996,Gomel,136.303
1996,Grodno,206.730
1996,Minsk,165.929
1996,Mogilev,136.534
1996,Vitebsk,134.969
1997,Brest,186.082
1997,Gomel,169.807
1997,Grodno,201.851
1997,Minsk,191.548
1997,Mogilev,177.277
1997,Vitebsk,177.220
1998,Brest,190.759
1998,Gomel,220.931
1998,Grodno,196.883
1998,Minsk,205.937
1998,Mogilev,203.830
1998,Vitebsk,184.229
1999,Brest,178.651
1999,Gomel,150.738
1999,Grodno,166.433
1999,Minsk,148.511
1999,Mogilev,119.603
1999,Vitebsk,112.767
2000,Brest,167.439
2000,Gomel,158.949
2000,Grodno,163.254
2000,Minsk,163.317
2000,Mogilev,162.958
2000,Vitebsk,173.279
2001,Brest,114.084
2001,Gomel,170.817
2001,Grodno,129.805
2001,Minsk,148.729
2001,Mogilev,162.305
2001,Vitebsk,162.400
2002,Brest,140.795
2002,Gomel,121.388
2002,Grodno,122.234
2002,Minsk,122.659
2002,Mogilev,107.035
2002,Vitebsk,104.728
2003,Brest,161.032
2003,Gomel,135.691
2003,Grodno,174.382
2003,Minsk,169.821
2003,Mogilev,151.897
2003,Vitebsk,191.075
2004,Brest,169.323
2004,Gomel,161.007
2004,Grodno,164.794
2004,Minsk,151.759
2004,Mogilev,143.440
2004,Vitebsk,114.432
2005,Brest,194.619
2005,Gomel,188.575
2005,Grodno,188.061
2005,Minsk,220.317
2005,Mogilev,205.984
2005,Vitebsk,239.768
2006,Brest,163.480
2006,Gomel,212.191
2006,Grodno,168.597
2006,Minsk,173.997
2006,Mogilev,196.600
2006,Vitebsk,191.428
2007,Brest,131.008
2007,Gomel,113.231
2007,Grodno,136.506
2007,Minsk,132.404
2007,Mogilev,145.260
2007,Vitebsk,169.957
2008,Brest,241.552
2008,Gomel,239.912
2008,Grodno,241.203
2008,Minsk,242.613
2008,Mogilev,249.853
2008,Vitebsk,243.923
2009,Brest,157.898
2009,Gomel,146.480
2009,Grodno,128.384
2009,Minsk,147.252
2009,Mogilev,147.763
2009,Vitebsk,136.668
2010,Brest,183.036
2010,Gomel,138.107
2010,Grodno,198.603
2010,Minsk,194.253
2010,Mogilev,193.151
2010,Vitebsk,202.887
2011,Brest,106.140
2011,Gomel,106.623
2011,Grodno,119.795
2011,Minsk,103.269
2011,Mogilev,124.302
2011,Vitebsk,106.039
2012,Brest,156.422
2012,Gomel,192.896
2012,Grodno,146.861
2012,Minsk,191.461
2012,Mogilev,212.594
2012,Vitebsk,195.015
2013,Brest,217.245
2013,Gomel,192.425
2013,Grodno,172.646
2013,Minsk,179.705
2013,Mogilev,191.697
2013,Vitebsk,173.141
2014,Brest,207.103
2014,Gomel,167.273
2014,Grodno,181.165
2014,Minsk,171.837
2014,Mogilev,150.093
2014,Vitebsk,160.387
2015,Brest,155.001
2015,Gomel,138.964
2015,Grodno,196.634
2015,Minsk,148.721
2015,Mogilev,139.913
2015,Vitebsk,154.742
2016,Brest,188.233
2016,Gomel,172.678
2016,Grodno,182.387
2016,Minsk,166.566
2016,Mogilev,182.960
2016,Vitebsk,166.020
2017,Brest,192.860
2017,Gomel,158.065
2017,Grodno,185.718
2017,Minsk,190.537
2017,Mogilev,170.163
2017,Vitebsk,182.894
2018,Brest,114.869
2018,Gomel,110.502
2018,Grodno,108.714
2018,Minsk,110.052
2018,Mogilev,113.182
2018,Vitebsk,104.335
2019,Brest,222.576
2019,Gomel,147.908
2019,Grodno,156.627
2019,Minsk,132.749
2019,Mogilev,132.001
2019,Vitebsk,139.874
2020,Brest,134.916
2020,Gomel,151.975
2020,Grodno,145.895
2020,Minsk,140.819
2020,Mogilev,179.582
2020,Vitebsk,153.077
2021,Brest,173.915
2021,Gomel,210.444
2021,Grodno,197.761
2021,Minsk,214.071
2021,Mogilev,207.107
2021,Vitebsk,231.685
2022,Brest,157.719
2022,Gomel,201.565
2022,Grodno,174.431
2022,Minsk,196.411
2022,Mogilev,214.279
2022,Vitebsk,146.664
