year,region,tp_Sep
2011,Brest,18.683
2011,Gomel,29.456
2011,Grodno,42.109
2011,Minsk,37.366
2011,Mogilev,37.806
2011,Vitebsk,42.825
2012,Brest,29.922
2012,Gomel,38.410
2012,Grodno,36.570
2012,Minsk,37.909
2012,Mogilev,53.923
2012,Vitebsk,56.144
2013,Brest,106.469
2013,Gomel,79.673
2013,Grodno,96.620
2013,Minsk,56.048
2013,Mogilev,73.372
2013,Vitebsk,57.360
2014,Brest,35.328
2014,Gomel,25.346
2014,Grodno,34.423
2014,Minsk,30.921
2014,Mogilev,28.985
2014,Vitebsk,26.381
2015,Brest,91.169
2015,Gomel,57.268
2015,Grodno,75.500
2015,Minsk,83.603
2015,Mogilev,63.757
2015,Vitebsk,92.633
2016,Brest,14.079
2016,Gomel,13.199
2016,Grodno,21.894
2016,Minsk,28.820
2016,Mogilev,24.656
2016,Vitebsk,39.025
2017,Brest,75.957
2017,Gomel,49.654
2017,Grodno,91.842
2017,Minsk,85.533
2017,Mogilev,69.141
2017,Vitebsk,70.148
2018,Brest,49.431
2018,Gomel,39.794
2018,Grodno,52.305
2018,Minsk,50.394
2018,Mogilev,45.410
2018,Vitebsk,53.377
2019,Brest,38.218
2019,Gomel,48.108
2019,Grodno,54.467
2019,Minsk,53.560
2019,Mogilev,49.117
2019,Vitebsk,60.234
2020,Brest,46.331
2020,Gomel,27.706
2020,Grodno,23.375
2020,Minsk,36.638
2020,Mogilev,45.168
2020,Vitebsk,49.488
